"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도정부안(천원)","금년도국회확정(천원)"
"2012","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","24000","24000"
"2012","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","303000","303000"
"2012","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","5468","5468"
"2012","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","181","181"
"2012","감사원","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","300","300"
"2012","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","30000","30000"
"2012","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","8000","8000"
"2012","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","5000","5000"
"2012","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","28258000","28258000"
"2012","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","61000","61000"
"2012","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","1000"
"2012","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","315000","315000"
"2012","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","1500000","1500000"
"2012","경찰청","경찰병원","자본계정","전년도이월금","전년도이월금","전년도이월금","31000","31000"
"2012","경찰청","일반회계",,"경상이전수입","가산금","가산금","13949000","13949000"
"2012","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","4619000","4619000"
"2012","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","751215000","751215000"
"2012","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","147509000","147509000"
"2012","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","2000","2000"
"2012","경찰청","일반회계",,"경상이전수입","변상금및위약금","변상금","196000","196000"
"2012","경찰청","일반회계",,"경상이전수입","변상금및위약금","위약금","1139000","1139000"
"2012","경찰청","일반회계",,"관유물매각대","고정자산매각대","건물매각대","672000","672000"
"2012","경찰청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","4783000","4783000"
"2012","경찰청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","746000","746000"
"2012","경찰청","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","5842000","5842000"
"2012","경찰청","일반회계",,"재산수입","관유물대여료","건물대여료","350000","350000"
"2012","경찰청","일반회계",,"재산수입","관유물대여료","기타관유물대여료","6000","6000"
"2012","경찰청","일반회계",,"재산수입","관유물대여료","토지대여료","568000","568000"
"2012","경찰청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","517000","517000"
"2012","경찰청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","486000","486000"
"2012","경찰청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","2340000","2340000"
"2012","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","기타경상이전수입","10000","10000"
"2012","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","법정부담금","5000","5000"
"2012","고용노동부","일반회계",,"경상이전수입","가산금","가산금","30000","30000"
"2012","고용노동부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","30221000","30221000"
"2012","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","10840000","10840000"
"2012","고용노동부","일반회계",,"경상이전수입","변상금및위약금","위약금","2000","2000"
"2012","고용노동부","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","10000","10000"
"2012","고용노동부","일반회계",,"재산수입","관유물대여료","건물대여료","16000","16000"
"2012","고용노동부","일반회계",,"재산수입","관유물대여료","토지대여료","2000","2000"
"2012","고용노동부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","100000","100000"
