"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도정부안(천원)","금년도국회확정(천원)"
"2013","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","453500","453500"
"2013","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","303000","303000"
"2013","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","5500","5500"
"2013","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","200","200"
"2013","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","5000","5000"
"2013","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","6000","6000"
"2013","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","5000","5000"
"2013","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","31264000","31264000"
"2013","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","61000","61000"
"2013","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","1000"
"2013","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","315000","315000"
"2013","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","1500000","1500000"
"2013","경찰청","경찰병원","자본계정","전년도이월금","전년도이월금","전년도이월금","36000","36000"
"2013","경찰청","일반회계",,"경상이전수입","가산금","가산금","13659000","13659000"
"2013","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","4472000","4472000"
"2013","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","844425000","844425000"
"2013","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","153509000","153509000"
"2013","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","55000","55000"
"2013","경찰청","일반회계",,"경상이전수입","변상금및위약금","변상금","367000","367000"
"2013","경찰청","일반회계",,"경상이전수입","변상금및위약금","위약금","885000","885000"
"2013","경찰청","일반회계",,"관유물매각대","고정자산매각대","건물매각대","662000","662000"
"2013","경찰청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","4675000","4675000"
