"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2010","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 운영","인건비","62266414","0","0"
"2010","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 운영","기본경비","24658000","0","0"
"2010","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 국정지원","국정운영 지원","31469000","0","0"
"2010","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 국정지원","대통령실 정보화","3972336","0","0"
"2010","대통령실","일반회계",,"일반공공행정","일반행정","대통령 및 국가요인 경호","경호행사지원","39765000","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의정지원","57339024","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","위원회운영지원","10585544","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의원외교및국제회의","7776144","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","국회활동관련단체지원","15021120","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관운영지원","906112","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","입법정보지원","574308","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관자료확충및보존","6199626","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","전자도서관운영","8612180","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","기획관리및운영지원","677421","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","국가재정분석및사업평가","2477177","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","예산정책처정보화","263000","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","기획관리및운영지원","578822","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법및정책조사분석","1858119","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법조사처 정보화","597000","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","사무처 인건비","204883268","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","도서관 인건비","16317563","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","예산처 인건비","7489368","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","조사처 인건비","6241428","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","사무처 기본경비","17677953","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","도서관 기본경비","1319776","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","예산처 기본경비","1803058","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","조사처 기본경비","1046033","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","의회운영지원","10423989","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","법제활동지원","1020868","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","국회청사확보및시설관리","40312000","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","입법정보화","15440000","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","의회운영교육 수입대체경비","130000","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","국회방송운영","8985623","0","0"
"2010","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","예비금","1300000","0","0"
"2010","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부인건비","653693053","0","0"
"2010","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","소속기관 인건비","52747634","0","0"
"2010","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부 기본경비","57355423","0","0"
