"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2018","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","20000","20000","0"
"2018","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","406000","406000","0"
"2018","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","15000","15000","0"
"2018","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","7000","7000","0"
"2018","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","5000","5000","0"
"2018","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","6000","6000","0"
"2018","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","2000","2000","0"
"2018","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","29781000","29781000","0"
"2018","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","800000","800000","0"
"2018","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","1000","0"
"2018","경찰청","경찰병원","손익계정","재화및용역판매수입","병원수입","병원수입","3836819","3836819","0"
"2018","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","40000","40000","0"
"2018","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","820000","820000","0"
"2018","경찰청","경찰병원","손익계정","정부내부수입및기타","전입금","일반회계전입금","36373000","36373000","0"
"2018","경찰청","경찰병원","자본계정","전년도이월금","전년도이월금","전년도이월금","489000","489000","0"
"2018","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","감가상각비전입금","1000","1000","0"
"2018","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","당기순이익전입금","1000","1000","0"
"2018","경찰청","경찰병원","자본계정","정부내부수입및기타","전입금","일반회계전입금","5080000","5080000","0"
"2018","경찰청","일반회계",,"경상이전수입","가산금","가산금","38950000","38950000","0"
"2018","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","12798000","12798000","0"
"2018","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","675048000","675048000","0"
"2018","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","151049000","151049000","0"
"2018","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","100000","100000","0"
"2018","경찰청","일반회계",,"경상이전수입","변상금및위약금","변상금","411000","411000","0"
"2018","경찰청","일반회계",,"경상이전수입","변상금및위약금","위약금","956000","956000","0"
"2018","경찰청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","4580000","4580000","0"
"2018","경찰청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","382000","382000","0"
"2018","경찰청","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","1127000","1127000","0"
"2018","경찰청","일반회계",,"재산수입","관유물대여료","건물대여료","1204000","1204000","0"
"2018","경찰청","일반회계",,"재산수입","관유물대여료","토지대여료","667000","667000","0"
"2018","경찰청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","703000","703000","0"
"2018","경찰청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","801000","801000","0"
"2018","경찰청","일반회계",,"재화및용역판매수입","입학금및수업료","수업료","285000","285000","0"
"2018","경찰청","일반회계",,"재화및용역판매수입","입학금및수업료","입학금","10000","10000","0"
"2018","경찰청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","2409000","2409000","0"
"2018","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","기타경상이전수입","203000","203000","0"
"2018","고용노동부","일반회계",,"경상이전수입","가산금","가산금","145000","145000","0"
"2018","고용노동부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","41900000","41900000","0"
"2018","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","78000","78000","0"
"2018","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","42900000","42900000","0"
"2018","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","20000","20000","0"
"2018","고용노동부","일반회계",,"경상이전수입","변상금및위약금","위약금","10000","10000","0"
"2018","고용노동부","일반회계",,"재산수입","관유물대여료","건물대여료","22000","22000","0"
"2018","고용노동부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1630000","1630000","0"
"2018","고용노동부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","4000","4000","0"
"2018","고용노동부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","5000","5000","0"
"2018","공정거래위원회","일반회계",,"경상이전수입","가산금","가산금","247000","247000","0"
