"회계연도","소관명","회계명","계정명","분야명","부분명","프로그램명","단위사업명","전년도당초금액(천원)","금년도정부안(천원)","금년도국회확정(천원)"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","0","2155537","2155537"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","기관운영","인건비","0","2979310","2979310"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","소통협력","0","122399","122399"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","안전사회건설 종합대책 수립","0","81300","81300"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","자료기록관 설치 운영","0","46960","46960"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","진상규명 실지조사","0","314920","314920"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","참사 실태 조사 연구","0","42300","42300"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","청문회 및 감정 검정 실시","0","268990","268990"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","피해자 지원 대책 점검","0","160195","160195"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","484000","484000","484000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","23176563","23128000","23022000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","265000","406000","406000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","10572000","10628000","10619600"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","수입대체경비","297000","360000","360000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","인건비","72133155","75980563","75980563"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","전산운영경비","3589000","6160000","6160000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","1257000","1185000","1185000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","3691740","3583000","3583000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","32674669","34754376","34754376"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","장례식장운영","1621000","2198000","2198000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","진료업무지원","26081000","23385000","23385000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(경찰병원계정)","2899000","4023000","4023000"
"2016","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","151000","146000","146000"
"2016","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","자산취득","3051000","2746000","2746000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","감사·인권보호활동","3083000","2601000","2601000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경찰복지증진","11481000","28532000","24607000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경찰인력증원(인건비)","0","0","0"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","대국민치안정책제공","919000","1213000","1213000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부기본경비","382691585","383450000","383450000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부인건비","7066004571","7478299186","7478299186"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관기본경비","11423670","11408000","11408000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관인건비","84148652","81275746","81275746"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","일반행정업무지원","486090720","494448000","498640200"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","행정효율성증진및능력개발","2936000","3043000","3043000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","교통안전·소통확보","교통사고예방","258339000","265635000","271815000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","교통안전·소통확보","교통행정전산화(정보화)","3129000","3153000","3153000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","국제교류협력활동","2975208","2802000","3018000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","대테러상황관리","6086000","5431000","7490000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","보안경찰활동","34814000","35972000","35972000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","외사경찰활동","15313396","16188000","16188000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","범죄수사","114369930","117600000","117600000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","사이버수사","6715000","7013000","7003000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","첨단과학수사","19021000","17846000","18446000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄예방및사회적약자보호","범죄예방","23223000","29113000","29313000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄예방및사회적약자보호","여성청소년보호활동","14727000","15898000","15998000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","사회질서유지","경비경찰역량강화","184586000","183465000","183225000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","사회질서유지","치안정보활동","39655358","42019000","41214000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","경찰대학운영","10385000","11661000","11647000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","경찰보수교육","8503000","8189000","8489000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","수사경찰전문교육","2493000","2466000","2466000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","신임순경교육","28510000","22465000","22465000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","우수인재확보및능력개발","7215000","8517000","8517000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰유무선망개선","65226000","58252000","58252000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰장비현대화","239068820","234362000","231214000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰정보화기반고도화(정보화)","52826000","56458000","56458000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","정책연구개발(R&D)","2200000","5106000","5106000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","헬기운용 및 현대화","24538047","25284000","25284000"
"2016","경찰청","일반회계",,"사회복지","취약계층지원","범죄예방및사회적약자보호","여성청소년보호활동","24009000","22515000","22515000"
"2016","경찰청","지역발전특별회계","경제발전계정","공공질서및안전","경찰","교통안전·소통확보","광역교통관리체계개선","15116000","1741000","1741000"
"2016","경찰청","지역발전특별회계","세종특별자치시계정","공공질서및안전","경찰","교통안전·소통확보","광역교통관리체계개선","572000","0","0"
"2016","경찰청","지역발전특별회계","제주특별자치도계정","공공질서및안전","경찰","경찰행정지원","제주이관인력지원","3547000","3726000","3726000"
"2016","경찰청","혁신도시건설특별회계",,"공공질서및안전","경찰","경찰행정지원","혁신도시건설","79942000","49551000","49551000"
"2016","고용노동부","에너지및자원사업특별회계","투자계정","사회복지","노동","산업재해예방","진폐근로자보호","61896000","70856000","70856000"
"2016","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","고객상담센터운영","1162000","1168000","1168000"
