"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도정부안(천원)","금년도국회확정(천원)"
"2014","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","20000","20000"
"2014","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","288000","288000"
"2014","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","6000","6000"
"2014","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","3000","3000"
"2014","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","5000","5000"
"2014","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","6000","6000"
"2014","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","6000","6000"
"2014","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","30593276","30593276"
"2014","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","61000","61000"
"2014","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","1000"
"2014","경찰청","경찰병원","손익계정","재화및용역판매수입","병원수입","병원수입","0","1836000"
"2014","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","316000","316000"
"2014","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","3025000","3025000"
"2014","경찰청","일반회계",,"경상이전수입","가산금","가산금","10930000","10930000"
"2014","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","5322000","5322000"
"2014","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","646459000","646459000"
"2014","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","147509000","147509000"
"2014","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","77000","77000"
"2014","경찰청","일반회계",,"경상이전수입","변상금및위약금","변상금","367000","367000"
"2014","경찰청","일반회계",,"경상이전수입","변상금및위약금","위약금","885000","885000"
"2014","경찰청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","4178000","4178000"
"2014","경찰청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","229000","229000"
"2014","경찰청","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","1101000","1101000"
"2014","경찰청","일반회계",,"재산수입","관유물대여료","건물대여료","1104000","1104000"
"2014","경찰청","일반회계",,"재산수입","관유물대여료","토지대여료","651000","651000"
"2014","경찰청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","585000","585000"
"2014","경찰청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","504000","504000"
"2014","경찰청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","2240000","2240000"
"2014","경찰청","혁신도시건설특별회계",,"관유물매각대","고정자산매각대","건물매각대","3037000","3037000"
"2014","경찰청","혁신도시건설특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","28730000","28730000"
"2014","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","기타경상이전수입","23000","23000"
"2014","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","법정부담금","7000","7000"
"2014","고용노동부","일반회계",,"경상이전수입","가산금","가산금","51000","51000"
"2014","고용노동부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","32962000","32962000"
"2014","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","50000","50000"
"2014","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","24627000","24627000"
"2014","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","20000","20000"
"2014","고용노동부","일반회계",,"경상이전수입","변상금및위약금","위약금","2000","2000"
"2014","고용노동부","일반회계",,"재산수입","관유물대여료","건물대여료","22000","22000"
"2014","고용노동부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","670000","670000"
"2014","고용노동부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","4000","4000"
"2014","고용노동부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","5000","5000"
"2014","공정거래위원회","일반회계",,"경상이전수입","가산금","가산금","132000","132000"
"2014","공정거래위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","416000","416000"
"2014","공정거래위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","2248000","2248000"
"2014","공정거래위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","695325000","695325000"
"2014","공정거래위원회","일반회계",,"경상이전수입","변상금및위약금","위약금","1000","1000"
"2014","공정거래위원회","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","2000","2000"
"2014","관세청","일반회계",,"경상이전수입","가산금","가산금","4567000","4944000"
"2014","관세청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","279000","279000"
"2014","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","3852000","3852000"
"2014","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","8423000","8423000"
"2014","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","몰수금및추징금","2984000","2984000"
"2014","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","2663000","2663000"
"2014","관세청","일반회계",,"경상이전수입","변상금및위약금","위약금","31000","31000"
"2014","관세청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","200000","200000"
"2014","관세청","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","1641000","1641000"
"2014","관세청","일반회계",,"수입대체경비수입","잡수입","기타잡수입","22000","22000"
"2014","관세청","일반회계",,"재산수입","관유물대여료","건물대여료","441000","441000"
"2014","관세청","일반회계",,"재산수입","관유물대여료","토지대여료","317000","317000"
"2014","관세청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","7000","7000"
"2014","관세청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","953000","953000"
"2014","관세청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","124000","124000"
"2014","교육부","광역지역발전특별회계","광역발전계정","경상이전수입","기타경상이전수입","기타경상이전수입","2926000","2926000"
"2014","교육부","일반회계",,"경상이전수입","가산금","가산금","114420","114420"
"2014","교육부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","37905568","37905568"
"2014","교육부","일반회계",,"경상이전수입","변상금및위약금","변상금","108000","108000"
"2014","교육부","일반회계",,"경상이전수입","변상금및위약금","위약금","642000","642000"
"2014","교육부","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","64000","64000"
"2014","교육부","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","129173","129173"
"2014","교육부","일반회계",,"관유물매각대","재고자산매각대및유동자산","재고자산매각대","61426","61426"
"2014","교육부","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","8579353","8579353"
"2014","교육부","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","27582000","26982000"
"2014","교육부","일반회계",,"수입대체경비수입","잡수입","기타잡수입","26350000","26350000"
"2014","교육부","일반회계",,"융자및전대차관원금회수","전대차관원금회수","기타민간전대차관원금회수","54000","54000"
"2014","교육부","일반회계",,"재산수입","관유물대여료","건물대여료","6737000","6737000"
"2014","교육부","일반회계",,"재산수입","관유물대여료","기타관유물대여료","98546","98546"
"2014","교육부","일반회계",,"재산수입","관유물대여료","토지대여료","798245","798245"
"2014","교육부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","5518362","5518362"
"2014","교육부","일반회계",,"재산수입","전대차관이자수입","기타민간전대차관이자수입","10000","10000"
"2014","교육부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","436000","436000"
"2014","교육부","일반회계",,"재화및용역판매수입","입학금및수업료","수업료","192868599","192868599"
"2014","교육부","일반회계",,"재화및용역판매수입","입학금및수업료","입학금","13184433","13184433"
"2014","교육부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","1206000","1206000"
"2014","국가보훈처","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","기타경상이전수입","154000","154000"
"2014","국가보훈처","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","2955000","2955000"
"2014","국가보훈처","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","24000","24000"
"2014","국가보훈처","일반회계",,"경상이전수입","변상금및위약금","위약금","13000","13000"
"2014","국가보훈처","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","22000","22000"
"2014","국가보훈처","일반회계",,"재산수입","관유물대여료","건물대여료","73000","73000"
"2014","국가보훈처","일반회계",,"재산수입","관유물대여료","토지대여료","1000","1000"
"2014","국가보훈처","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","413000","413000"
"2014","국가보훈처","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","1000","1000"
"2014","국가보훈처","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","11000","11000"
"2014","국가인권위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","10000","10000"
"2014","국가인권위원회","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","10000","10000"
"2014","국가정보원","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1159000","1159000"
"2014","국민권익위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","7009000","7009000"
"2014","국민권익위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","3000","3000"
"2014","국방부","국방·군사시설이전특별회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","1180000","1180000"
"2014","국방부","국방·군사시설이전특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","314748845","309258845"
"2014","국방부","국방·군사시설이전특별회계",,"재산수입","기타이자수입및재산수입","기타재산수입","50000","50000"
"2014","국방부","국방·군사시설이전특별회계",,"전년도이월금","전년도이월금","전년도이월금","11744000","11744000"
"2014","국방부","국방·군사시설이전특별회계",,"정부내부수입및기타","예탁원금회수","기금예탁원금회수","30000000","30000000"
"2014","국방부","국방·군사시설이전특별회계",,"정부내부수입및기타","예탁이자수입","기금예탁이자수입","3841000","3728000"
"2014","국방부","일반회계",,"경상이전수입","가산금","가산금","24000","24000"
"2014","국방부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","62285000","62285000"
"2014","국방부","일반회계",,"경상이전수입","벌금,몰수금및과태료","몰수금및추징금","110000","110000"
"2014","국방부","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","2940000","2940000"
"2014","국방부","일반회계",,"경상이전수입","변상금및위약금","변상금","1468000","1468000"
"2014","국방부","일반회계",,"경상이전수입","변상금및위약금","위약금","10342000","10342000"
"2014","국방부","일반회계",,"재산수입","관유물대여료","건물대여료","1102000","1102000"
"2014","국방부","일반회계",,"재산수입","관유물대여료","기타관유물대여료","698000","698000"
"2014","국방부","일반회계",,"재산수입","관유물대여료","토지대여료","3938000","3938000"
"2014","국방부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1403000","1403000"
"2014","국방부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","464000","464000"
"2014","국방부","일반회계",,"재화및용역판매수입","병원수입","병원수입","8038000","8038000"
"2014","국방부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","24385000","24385000"
"2014","국방부","일반회계",,"재화및용역판매수입","항공항만및용수수입","항공항만수입","961000","961000"
"2014","국방부","일반회계",,"정부내부수입및기타","전입금","기금전입금","88046000","88046000"
"2014","국방부","주한미군기지이전특별회계",,"경상이전수입","가산금","가산금","6000","6000"
"2014","국방부","주한미군기지이전특별회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","156000","156000"
"2014","국방부","주한미군기지이전특별회계",,"경상이전수입","변상금및위약금","변상금","45000","45000"
"2014","국방부","주한미군기지이전특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","205098297","205098297"
"2014","국방부","주한미군기지이전특별회계",,"재산수입","관유물대여료","토지대여료","4358000","4358000"
"2014","국방부","주한미군기지이전특별회계",,"재산수입","기타이자수입및재산수입","기타재산수입","200000","200000"
"2014","국방부","주한미군기지이전특별회계",,"재화및용역판매수입","잡수입","기타잡수입","40000","40000"
"2014","국방부","주한미군기지이전특별회계",,"전년도이월금","전년도이월금","전년도이월금","4281000","4281000"
"2014","국방부","주한미군기지이전특별회계",,"정부내부수입및기타","예수금","기금예수금","431969000","427594000"
"2014","국방부","혁신도시건설특별회계",,"관유물매각대","고정자산매각대","건물매각대","10643000","10643000"
"2014","국방부","혁신도시건설특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","90912000","90912000"
"2014","국세청","일반회계",,"경상이전수입","가산금","가산금","719200000","719200000"
"2014","국세청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","45088000","45088000"
"2014","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","99000","99000"
"2014","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","84129000","84129000"
"2014","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","65235000","65235000"
"2014","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","41000","41000"
"2014","국세청","일반회계",,"경상이전수입","변상금및위약금","변상금","459000","459000"
"2014","국세청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","11000","11000"
"2014","국세청","일반회계",,"수입대체경비수입","잡수입","기타잡수입","594000","594000"
"2014","국세청","일반회계",,"재산수입","관유물대여료","건물대여료","175000","175000"
"2014","국세청","일반회계",,"재산수입","관유물대여료","토지대여료","2000","2000"
"2014","국세청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","50000","50000"
"2014","국세청","혁신도시건설특별회계",,"관유물매각대","고정자산매각대","건물매각대","3481000","3481000"
"2014","국세청","혁신도시건설특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","33294000","33294000"
"2014","국토교통부","광역지역발전특별회계","광역발전계정","경상이전수입","가산금","가산금","2358000","2358000"
"2014","국토교통부","광역지역발전특별회계","광역발전계정","경상이전수입","기타경상이전수입","기타경상이전수입","13747000","13747000"
"2014","국토교통부","광역지역발전특별회계","광역발전계정","경상이전수입","기타경상이전수입","법정부담금","333065000","333065000"
"2014","국토교통부","광역지역발전특별회계","광역발전계정","관유물매각대","토지및무형자산매각대","토지매각대","5536000","5536000"
"2014","국토교통부","광역지역발전특별회계","광역발전계정","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","450000","450000"
"2014","국토교통부","광역지역발전특별회계","광역발전계정","재산수입","관유물대여료","토지대여료","343000","343000"
"2014","국토교통부","광역지역발전특별회계","광역발전계정","재산수입","기타이자수입및재산수입","기타민간이자수입","9000","9000"
"2014","국토교통부","광역지역발전특별회계","지역개발계정","경상이전수입","가산금","가산금","11355000","11355000"
"2014","국토교통부","광역지역발전특별회계","지역개발계정","경상이전수입","기타경상이전수입","기타경상이전수입","4400000","4400000"
"2014","국토교통부","광역지역발전특별회계","지역개발계정","경상이전수입","기타경상이전수입","법정부담금","243853000","243853000"
"2014","국토교통부","광역지역발전특별회계","지역개발계정","경상이전수입","벌금,몰수금및과태료","벌금및과료","300000","300000"
"2014","국토교통부","교통시설특별회계","공항계정","경상이전수입","기타경상이전수입","법정부담금","9553000","9553000"
"2014","국토교통부","교통시설특별회계","공항계정","재산수입","기타이자수입및재산수입","기타재산수입","433000","433000"
"2014","국토교통부","교통시설특별회계","공항계정","재산수입","정부출자수입","정부출자수입","122580000","122580000"
"2014","국토교통부","교통시설특별회계","공항계정","재화및용역판매수입","항공항만및용수수입","항공항만수입","44799000","44799000"
"2014","국토교통부","교통시설특별회계","공항계정","전년도이월금","전년도이월금","전년도이월금","234748000","234748000"
"2014","국토교통부","교통시설특별회계","교통체계관리계정","융자및전대차관원금회수","융자원금회수","지방자치단체융자원금회수","18666000","18666000"
"2014","국토교통부","교통시설특별회계","교통체계관리계정","재산수입","기타이자수입및재산수입","지방자치단체이자수입","1152000","1152000"
"2014","국토교통부","교통시설특별회계","교통체계관리계정","전년도이월금","전년도이월금","전년도이월금","33263000","33263000"
"2014","국토교통부","교통시설특별회계","도로계정","경상이전수입","가산금","가산금","115000","115000"
"2014","국토교통부","교통시설특별회계","도로계정","경상이전수입","기타경상이전수입","기타경상이전수입","24677000","24677000"
"2014","국토교통부","교통시설특별회계","도로계정","경상이전수입","기타경상이전수입","법정부담금","200000","200000"
"2014","국토교통부","교통시설특별회계","도로계정","경상이전수입","벌금,몰수금및과태료","과태료","30200000","30200000"
"2014","국토교통부","교통시설특별회계","도로계정","경상이전수입","벌금,몰수금및과태료","벌금및과료","18000","18000"
"2014","국토교통부","교통시설특별회계","도로계정","경상이전수입","변상금및위약금","변상금","296000","296000"
"2014","국토교통부","교통시설특별회계","도로계정","경상이전수입","변상금및위약금","위약금","516000","516000"
"2014","국토교통부","교통시설특별회계","도로계정","관유물매각대","토지및무형자산매각대","토지매각대","3355000","3355000"
"2014","국토교통부","교통시설특별회계","도로계정","재산수입","관유물대여료","토지대여료","19119000","19119000"
"2014","국토교통부","교통시설특별회계","도로계정","재산수입","기타이자수입및재산수입","기타재산수입","674000","674000"
"2014","국토교통부","교통시설특별회계","도로계정","재산수입","정부출자수입","정부출자수입","14391000","14391000"
"2014","국토교통부","교통시설특별회계","도로계정","재화및용역판매수입","잡수입","기타잡수입","526000","526000"
"2014","국토교통부","교통시설특별회계","도로계정","전년도이월금","전년도이월금","전년도이월금","22619000","22619000"
"2014","국토교통부","교통시설특별회계","철도계정","경상이전수입","기타경상이전수입","기타경상이전수입","500000","500000"
"2014","국토교통부","교통시설특별회계","철도계정","경상이전수입","변상금및위약금","변상금","245000","245000"
"2014","국토교통부","교통시설특별회계","철도계정","관유물매각대","토지및무형자산매각대","토지매각대","36500000","36500000"
"2014","국토교통부","교통시설특별회계","철도계정","재산수입","관유물대여료","토지대여료","110000","110000"
"2014","국토교통부","교통시설특별회계","철도계정","재산수입","기타이자수입및재산수입","기타민간이자수입","5890000","5890000"
"2014","국토교통부","교통시설특별회계","철도계정","재화및용역판매수입","잡수입","기타잡수입","11122000","11122000"
"2014","국토교통부","교통시설특별회계","철도계정","전년도이월금","전년도이월금","전년도이월금","12952000","12952000"
"2014","국토교통부","일반회계",,"경상이전수입","가산금","가산금","4000","4000"
"2014","국토교통부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","79335000","79335000"
"2014","국토교통부","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","456000","456000"
"2014","국토교통부","일반회계",,"경상이전수입","변상금및위약금","변상금","669000","669000"
"2014","국토교통부","일반회계",,"경상이전수입","변상금및위약금","위약금","177000","177000"
"2014","국토교통부","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","8000","8000"
"2014","국토교통부","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","1730000","1730000"
"2014","국토교통부","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","212000","531000"
"2014","국토교통부","일반회계",,"수입대체경비수입","잡수입","기타잡수입","1784000","1784000"
"2014","국토교통부","일반회계",,"재산수입","관유물대여료","건물대여료","108000","108000"
"2014","국토교통부","일반회계",,"재산수입","관유물대여료","기타관유물대여료","12000","12000"
"2014","국토교통부","일반회계",,"재산수입","관유물대여료","토지대여료","1402000","1402000"
"2014","국토교통부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","9796000","9796000"
"2014","국토교통부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","171000","171000"
"2014","국토교통부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","6794000","6794000"
"2014","국토교통부","혁신도시건설특별회계",,"전년도이월금","전년도이월금","전년도이월금","-347032000","-347032000"
"2014","국토교통부","혁신도시건설특별회계",,"정부내부수입및기타","예수금","기금예수금","400000000","395703000"
"2014","국회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","300000","300000"
"2014","국회","일반회계",,"경상이전수입","변상금및위약금","변상금","8000","8000"
"2014","국회","일반회계",,"경상이전수입","변상금및위약금","위약금","16000","16000"
"2014","국회","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","74000","74000"
"2014","국회","일반회계",,"수입대체경비수입","잡수입","기타잡수입","126000","126000"
"2014","국회","일반회계",,"재산수입","관유물대여료","건물대여료","442000","722000"
"2014","국회","일반회계",,"재산수입","관유물대여료","토지대여료","4000","4000"
"2014","국회","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","5000","5000"
"2014","국회","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","150000","150000"
"2014","국회","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","101000","101000"
"2014","금융위원회","일반회계",,"경상이전수입","가산금","가산금","110000","110000"
"2014","금융위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","452000","452000"
"2014","금융위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","12956000","13756000"
"2014","금융위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","1896000","2296000"
"2014","기상청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","950000","950000"
"2014","기상청","일반회계",,"경상이전수입","변상금및위약금","위약금","90000","90000"
"2014","기상청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","187000","187000"
"2014","기상청","일반회계",,"재산수입","관유물대여료","건물대여료","21000","21000"
"2014","기상청","일반회계",,"재산수입","관유물대여료","기타관유물대여료","3000","3000"
"2014","기상청","일반회계",,"재산수입","관유물대여료","토지대여료","2000","2000"
"2014","기상청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","420000","420000"
"2014","기상청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","1790000","1790000"
"2014","기상청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","4000","4000"
"2014","기획재정부","광역지역발전특별회계","광역발전계정","내국세","주세","기타주세","2400000","2400000"
"2014","기획재정부","광역지역발전특별회계","광역발전계정","내국세","주세","주세","1801620000","1801620000"
"2014","기획재정부","광역지역발전특별회계","제주특별자치도계정","정부내부수입및기타","전입금","기금전입금","5786000","5786000"
"2014","기획재정부","광역지역발전특별회계","지역개발계정","내국세","주세","기타주세","1600000","1600000"
"2014","기획재정부","광역지역발전특별회계","지역개발계정","내국세","주세","주세","1201080000","1201080000"
"2014","기획재정부","광역지역발전특별회계","지역개발계정","정부내부수입및기타","전입금","기금전입금","136499000","136499000"
"2014","기획재정부","일반회계",,"경상이전수입","가산금","가산금","1000","1000"
"2014","기획재정부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","6430651","6430651"
"2014","기획재정부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","56000","56000"
"2014","기획재정부","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","3000","3000"
"2014","기획재정부","일반회계",,"경상이전수입","변상금및위약금","위약금","24000","24000"
"2014","기획재정부","일반회계",,"관세","관세","관세","10553800000","10550600000"
"2014","기획재정부","일반회계",,"교육세","교육세","교육세","4472700000","4458900000"
"2014","기획재정부","일반회계",,"교통·에너지·환경세","교통·에너지·환경세","교통·에너지·환경세","13480800000","13480800000"
"2014","기획재정부","일반회계",,"내국세","개별소비세","개별소비세","5781700000","5981900000"
"2014","기획재정부","일반회계",,"내국세","기타내국세","과년도수입","5476900000","5476900000"
"2014","기획재정부","일반회계",,"내국세","법인세","법인세","46018100000","46018100000"
"2014","기획재정부","일반회계",,"내국세","부가가치세","부가가치세","60781400000","58454500000"
"2014","기획재정부","일반회계",,"내국세","상속세","상속세","2008626000","2008626000"
"2014","기획재정부","일반회계",,"내국세","상속세","증여세","2656874000","2617274000"
"2014","기획재정부","일반회계",,"내국세","소득세","신고분","19870049000","19882849000"
"2014","기획재정부","일반회계",,"내국세","소득세","원천분","34369251000","34499251000"
"2014","기획재정부","일반회계",,"내국세","인지세","인지세","698300000","692600000"
"2014","기획재정부","일반회계",,"내국세","증권거래세","증권거래세","3989000000","3989000000"
"2014","기획재정부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1602429000","1602429000"
"2014","기획재정부","일반회계",,"재산수입","정부출자수입","정부출자수입","303600000","325100000"
"2014","기획재정부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","8000","8000"
"2014","기획재정부","일반회계",,"정부내부수입및기타","예수금","기금예수금","27800000000","27674552000"
