"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도정부안(천원)","금년도국회확정(천원)"
"2011","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","20000","20000"
"2011","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","339000","339000"
"2011","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","6580","6580"
"2011","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","177","177"
"2011","감사원","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","300","300"
"2011","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","25000","25000"
"2011","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","13000","13000"
"2011","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","5000","5000"
"2011","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","25734000","25734000"
"2011","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","60000","60000"
"2011","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","1000"
"2011","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","315000","315000"
"2011","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","2699893","2699893"
"2011","경찰청","경찰병원","자본계정","전년도이월금","전년도이월금","전년도이월금","71000","71000"
"2011","경찰청","일반회계",,"경상이전수입","가산금","가산금","11132000","11132000"
"2011","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","3846000","3846000"
"2011","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","751215000","751215000"
"2011","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","147509000","147509000"
"2011","경찰청","일반회계",,"경상이전수입","변상금및위약금","변상금","150000","150000"
"2011","경찰청","일반회계",,"경상이전수입","변상금및위약금","위약금","1135000","1135000"
"2011","경찰청","일반회계",,"관유물매각대","고정자산매각대","건물매각대","603000","603000"
"2011","경찰청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","4385000","4385000"
"2011","경찰청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","586000","586000"
"2011","경찰청","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","4245000","4245000"
"2011","경찰청","일반회계",,"재산수입","관유물대여료","건물대여료","350000","350000"
"2011","경찰청","일반회계",,"재산수입","관유물대여료","기타관유물대여료","6000","6000"
"2011","경찰청","일반회계",,"재산수입","관유물대여료","토지대여료","468000","468000"
"2011","경찰청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","517000","517000"
"2011","경찰청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","486000","486000"
"2011","경찰청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","2104000","2104000"
"2011","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","기타경상이전수입","10000","10000"
"2011","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","법정부담금","5000","5000"
"2011","고용노동부","일반회계",,"경상이전수입","가산금","가산금","25000","25000"
"2011","고용노동부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","4231000","4231000"
"2011","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","8742000","8742000"
"2011","고용노동부","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","10000","10000"
"2011","고용노동부","일반회계",,"재산수입","관유물대여료","건물대여료","13000","13000"
"2011","고용노동부","일반회계",,"재산수입","관유물대여료","토지대여료","2000","2000"
"2011","고용노동부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","10000","10000"
"2011","고용노동부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","11000","11000"
"2011","공정거래위원회","일반회계",,"경상이전수입","가산금","가산금","48235","48235"
"2011","공정거래위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","346491","346491"
