"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도정부안(천원)","금년도국회확정(천원)"
"2015","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","20000","20000"
"2015","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","317000","317000"
"2015","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","11000","11000"
"2015","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","6000","6000"
"2015","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","5000","5000"
"2015","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","6000","6000"
"2015","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","2000","2000"
"2015","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","28730409","28730409"
"2015","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","121000","121000"
"2015","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","1000"
"2015","경찰청","경찰병원","손익계정","재화및용역판매수입","병원수입","병원수입","4399000","4399000"
"2015","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","7000","7000"
"2015","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","330000","330000"
"2015","경찰청","경찰병원","자본계정","전년도이월금","전년도이월금","전년도이월금","17000","17000"
"2015","경찰청","일반회계",,"경상이전수입","가산금","가산금","11258000","11258000"
"2015","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","6352000","6352000"
"2015","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","665853000","665853000"
"2015","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","147509000","147509000"
"2015","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","77000","100000"
"2015","경찰청","일반회계",,"경상이전수입","변상금및위약금","변상금","378000","378000"
"2015","경찰청","일반회계",,"경상이전수입","변상금및위약금","위약금","885000","885000"
"2015","경찰청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","4580000","4580000"
"2015","경찰청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","229000","229000"
"2015","경찰청","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","1101000","1101000"
"2015","경찰청","일반회계",,"재산수입","관유물대여료","건물대여료","1104000","1104000"
"2015","경찰청","일반회계",,"재산수입","관유물대여료","토지대여료","651000","651000"
"2015","경찰청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","585000","585000"
"2015","경찰청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","504000","504000"
"2015","경찰청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","2240000","2240000"
"2015","경찰청","혁신도시건설특별회계",,"관유물매각대","고정자산매각대","건물매각대","5858000","5858000"
"2015","경찰청","혁신도시건설특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","57520000","57520000"
"2015","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","기타경상이전수입","23000","23000"
"2015","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","법정부담금","7000","7000"
"2015","고용노동부","일반회계",,"경상이전수입","가산금","가산금","51000","51000"
"2015","고용노동부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","30298000","30298000"
"2015","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","50000","50000"
"2015","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","33200000","33200000"
"2015","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","20000","20000"
"2015","고용노동부","일반회계",,"경상이전수입","변상금및위약금","위약금","2000","2000"
"2015","고용노동부","일반회계",,"재산수입","관유물대여료","건물대여료","22000","22000"
"2015","고용노동부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","670000","670000"
"2015","고용노동부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","4000","4000"
"2015","고용노동부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","5000","5000"
"2015","공정거래위원회","일반회계",,"경상이전수입","가산금","가산금","247000","247000"
"2015","공정거래위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","705000","705000"
"2015","공정거래위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","653240000","653240000"
"2015","공정거래위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","2360000","2360000"
"2015","공정거래위원회","일반회계",,"경상이전수입","변상금및위약금","위약금","1000","1000"
"2015","공정거래위원회","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","2000","2000"
"2015","관세청","일반회계",,"경상이전수입","가산금","가산금","5019000","5019000"
"2015","관세청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","302000","302000"
"2015","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","2876000","2876000"
"2015","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","14106000","14106000"
"2015","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","몰수금및추징금","2926000","3251000"
"2015","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","4114000","4114000"
"2015","관세청","일반회계",,"경상이전수입","변상금및위약금","위약금","33000","33000"
"2015","관세청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","46000","46000"
"2015","관세청","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","1761000","1761000"
"2015","관세청","일반회계",,"수입대체경비수입","잡수입","기타잡수입","31000","31000"
"2015","관세청","일반회계",,"재산수입","관유물대여료","건물대여료","244000","244000"
"2015","관세청","일반회계",,"재산수입","관유물대여료","토지대여료","340000","340000"
"2015","관세청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","8000","8000"
"2015","관세청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","3931000","3931000"
"2015","관세청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","610000","610000"
"2015","교육부","일반회계",,"경상이전수입","가산금","가산금","113000","113000"
"2015","교육부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","96318000","96318000"
"2015","교육부","일반회계",,"경상이전수입","변상금및위약금","변상금","141000","141000"
"2015","교육부","일반회계",,"경상이전수입","변상금및위약금","위약금","636000","636000"
"2015","교육부","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","56000","56000"
"2015","교육부","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","137000","137000"
"2015","교육부","일반회계",,"관유물매각대","재고자산매각대및유동자산","재고자산매각대","61000","61000"
