"회계연도","소관명","회계명","계정명","분야명","부분명","프로그램명","단위사업명","전년도당초금액(천원)","금년도정부안(천원)","금년도국회확정(천원)"
"2015","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","478000","494000","484000"
"2015","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","23154000","23426563","23176563"
"2015","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","271000","265000","265000"
"2015","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","10374000","10580000","10572000"
"2015","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","수입대체경비","288000","297000","297000"
"2015","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","인건비","68632651","72133155","72133155"
"2015","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","전산운영경비","3110000","3589000","3589000"
"2015","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","869000","1257000","1257000"
"2015","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","3604002","3691740","3691740"
"2015","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","31529274","32674669","32674669"
"2015","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","장례식장운영","928000","1621000","1621000"
"2015","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","진료업무지원","22685000","26081000","26081000"
"2015","경찰청","경찰병원","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(경찰병원계정)","3039000","2899000","2899000"
"2015","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","156000","151000","151000"
"2015","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","자산취득","2079000","3051000","3051000"
"2015","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","감사·인권보호활동","2950000","3083000","3083000"
"2015","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경찰복지증진","8823000","11481000","11481000"
"2015","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경찰인력증원(인건비)","0","0","0"
"2015","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","대국민치안정책제공","843000","919000","919000"
"2015","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부기본경비","371705176","381108589","381108589"
"2015","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부인건비","6558021065","7053896781","7053896781"
