"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의정지원","67099000","67099000","67099000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","위원회운영지원","10727000","10727000","10727000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의회외교","7220000","7220000","7220000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","국회활동관련단체지원","15334000","15334000","15334000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","예비금","1300000","1300000","1300000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","의회운영지원","11019600","11019600","11019600"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","법제활동지원","973000","973000","973000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","국회청사확보및시설관리","52679000","52679000","52679000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","입법정보화","15558000","15558000","15558000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","의회운영교육 수입대체경비","130000","130000","130000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","국회방송운영","9465900","9465900","9465900"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관운영지원","943000","943000","943000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","입법정보지원","804000","804000","804000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관자료확충및보존","6960600","6960600","6960600"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","전자도서관운영","8971000","8971000","8971000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","기획관리및운영지원","695000","695000","695000"
"2013","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","국가재정분석및사업평가","2776000","2776000","2776000"
