"회계연도","소관명","회계명","계정명","분야명","부분명","프로그램명","단위사업명","전년도당초금액(천원)","금년도정부안(천원)","금년도국회확정(천원)"
"2010","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사연구활동경비","793552","580876","580876"
"2010","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사활동경비","16866000","16893222","16893222"
"2010","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","국제교류협력강화","35354","433634","433634"
"2010","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","기본경비","9089396","9648499","9648499"
"2010","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","수입대체경비","266000","266000","266000"
"2010","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","인건비","60738560","60872527","60872527"
"2010","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","전산운영경비","1293472","1349000","1349000"
"2010","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","0","604000","604000"
"2010","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","3272178","3255059","3255059"
"2010","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","29388871","29516167","29516167"
"2010","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","진료업무지원","21902806","24057079","24057079"
"2010","경찰청","경찰병원","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(경찰병원계정)","2475844","1783907","1965907"
"2010","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","172397","154660","154660"
"2010","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","자산취득","1215000","1155000","1155000"
"2010","경찰청","광역지역발전특별회계","광역발전계정","공공질서및안전","경찰","국민생활안전","광역교통관리체계개선","29700000","29700000","29700000"
"2010","경찰청","광역지역발전특별회계","제주특별자치도계정","공공질서및안전","경찰","경찰행정지원","제주이관인력지원","2283020","2443000","2443000"
"2010","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","운전면허관리","예비비","3357332","0","0"
"2010","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","운전면허관리","운전면허관리","26522000","25184000","25184000"
"2010","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","운전면허관리","운전면허단기본경비","3496000","3440627","3440627"
"2010","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","운전면허관리","운전면허단인건비","39901243","38831562","38831562"
"2010","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","운전면허관리","운전면허전산화","4384000","2341000","2341000"
"2010","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(자동차운전면허계정)","3732137","2640801","2921801"
"2010","경찰청","운전면허시험관리단","자본계정","공공질서및안전","경찰","운전면허관리","운전면허단기본경비","299288","269359","269359"
"2010","경찰청","운전면허시험관리단","자본계정","공공질서및안전","경찰","운전면허관리","전산장비취득","670000","2637000","2637000"
"2010","경찰청","운전면허시험관리단","자본계정","공공질서및안전","경찰","운전면허관리","차량및시설취득","1998000","2198000","2198000"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경무활동지원","143032822","144390106","144390106"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부기본경비","363171829","335901911","335901911"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부인건비","5065314617","5111462585","5111462585"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","사이버경찰청운영","398178","369574","369574"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관기본경비","10418583","11767584","11767584"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관인건비","41411991","53124408","53124408"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","일반행정업무지원","253031719","257832133","257832133"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","청사확보및시설개선","219425000","215413000","225113000"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","대테러상황관리","7553795","7025404","7025404"
"2010","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","보안경찰활동","37910952","36272553","36272553"
