"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","인건비","34691301","34691301","34691301"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","19532000","19532000","19532000"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","28762000","28762000","28762000"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","정보화","4625000","4625000","4625000"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국가안보 및 위기관리","453000","453000","453000"
"2017","대통령경호실","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","인건비","45587031","45587031","45587031"
"2017","대통령경호실","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","9064000","9064000","9064000"
"2017","대통령경호실","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","36682000","36682000","36682000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","69460000","69460000","69460000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","위원회운영지원","11019000","11019000","11019000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의회외교","10932000","10932000","10932000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","국회활동관련단체지원","8794000","8794000","8794000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","예비금","1300000","1300000","1300000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","의회운영지원","19794000","19794000","19794000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","법제활동지원","959000","959000","959000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","국회청사확보및시설관리","33761000","33761000","33761000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","입법정보화","17263000","17263000","17263000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","의회운영교육 수입대체경비","126000","126000","126000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","국회방송운영","14236000","14236000","14236000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","도서관운영지원","1007000","1007000","1007000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","입법정보지원","912000","912000","912000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","도서관자료확충및보존","6760000","6760000","6760000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","전자도서관운영","9254000","9254000","9254000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","예산정책처운영","기획관리및운영지원","627000","627000","627000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","예산정책처운영","국가재정분석및사업평가","2557000","2557000","2557000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","예산정책처운영","예산정책처정보화","900000","900000","900000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","입법조사처운영","기획관리및운영지원","539000","539000","539000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","입법조사처운영","입법및정책조사분석","2023000","2023000","2023000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","입법조사처운영","입법조사처 정보화","862000","862000","862000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","사무처 인건비","289746877","289746877","289746877"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","도서관 인건비","23849377","23849377","23849377"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","예산처 인건비","11192663","11192663","11192663"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","조사처 인건비","9868121","9868121","9868121"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","사무처 기본경비","21277000","21277000","21277000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","도서관 기본경비","1561000","1561000","1561000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","예산처 기본경비","2220000","2220000","2220000"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","조사처 기본경비","1469000","1469000","1469000"
"2017","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부인건비","995373007","995373007","995373007"
"2017","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","소속기관 인건비","27078111","27078111","27078111"
"2017","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부 기본경비","69672000","69672000","69672000"
"2017","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","소속기관 기본경비","5509000","5509000","5509000"
"2017","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","사법운영지원","77416000","77416000","77416000"
