"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2014","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","인건비","31102910","0","0"
"2014","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","18241000","0","0"
"2014","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","29384000","0","0"
"2014","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","정보화","4952000","0","0"
"2014","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국가안보실 운영","454000","0","0"
"2014","대통령경호실","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","인건비","41299355","0","0"
"2014","대통령경호실","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","8180000","0","0"
"2014","대통령경호실","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","29891000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","64241000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","위원회운영지원","10809000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의회외교","9729000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","국회활동관련단체지원","11108000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","예비금","1300000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","의회운영지원","11736000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","법제활동지원","915000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","국회청사확보및시설관리","28376000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","입법정보화","15480000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","의회운영교육 수입대체경비","126000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","국회방송운영","11894000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","도서관운영지원","932000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","입법정보지원","791000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","도서관자료확충및보존","7265000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","전자도서관운영","8282000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","예산정책처운영","기획관리및운영지원","661000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","예산정책처운영","국가재정분석및사업평가","2647000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","예산정책처운영","예산정책처정보화","673000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","입법조사처운영","기획관리및운영지원","594000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","입법조사처운영","입법및정책조사분석","1810000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","입법조사처운영","입법조사처 정보화","801000","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","사무처 인건비","252533595","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","도서관 인건비","20165621","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","예산처 인건비","8927723","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","조사처 인건비","8344873","0","0"
"2014","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","사무처 기본경비","19378000","0","0"
