"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도정부안(천원)","금년도국회확정(천원)"
"2007","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","2000","2000"
"2007","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","239000","239000"
"2007","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","3600","3600"
"2007","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","140","140"
"2007","감사원","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","110","110"
"2007","건설교통부","교통시설특별회계","공항계정","경상이전수입","기타경상이전수입","법정부담금","3000000","3000000"
"2007","건설교통부","교통시설특별회계","공항계정","재화및용역판매수입","항공항만및용수수입","항공항만수입","30606000","30606000"
"2007","건설교통부","교통시설특별회계","광역교통시설계정","경상이전수입","기타경상이전수입","법정부담금","47000000","47000000"
"2007","건설교통부","교통시설특별회계","대중교통계정","융자및전대차관원금회수","융자원금회수","지방자치단체융자원금회수","45646000","45646000"
"2007","건설교통부","교통시설특별회계","대중교통계정","재산수입","기타이자수입및재산수입","지방자치단체이자수입","15534000","15534000"
"2007","건설교통부","교통시설특별회계","도로계정","경상이전수입","기타경상이전수입","기타경상이전수입","7353000","7353000"
"2007","건설교통부","교통시설특별회계","도로계정","경상이전수입","기타경상이전수입","법정부담금","72000","72000"
"2007","건설교통부","교통시설특별회계","도로계정","관유물매각대","토지및무형자산매각대","토지매각대","1872000","1872000"
"2007","건설교통부","교통시설특별회계","도로계정","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","56300000","56300000"
"2007","건설교통부","교통시설특별회계","도로계정","재산수입","관유물대여료","토지대여료","11015723","11015723"
"2007","건설교통부","교통시설특별회계","도로계정","재산수입","기타이자수입및재산수입","기타민간이자수입","41300000","41300000"
"2007","건설교통부","교통시설특별회계","도로계정","재산수입","정부출자수입","정부출자수입","3000000","3000000"
"2007","건설교통부","교통시설특별회계","도로계정","전년도이월금","전년도이월금","전년도이월금","21000000","51000000"
"2007","건설교통부","교통시설특별회계","철도계정","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","28838000","28838000"
