"회계연도","소관명","회계명","계정명","분야명","부분명","프로그램명","단위사업명","전년도당초금액(천원)","금년도정부안(천원)","금년도국회확정(천원)"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","ASOSAI 세미나 개최","0","100326","100326"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사교육원 청사 및 시설물관리","0","244973","244973"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사역량강화","1011996","1504888","1334888"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사활동경비","14747963","15867853","15867853"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","본부 기본경비","5314860","5515219","5515219"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","본부 인건비","45982153","48725749","48725749"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","본부청사 및 시설물 관리","2733778","402400","402400"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","소속기관 기본경비","3047283","2963781","2963781"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","소속기관 인건비","4241508","4337366","4337366"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","수입대체경비","252000","239400","239400"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","전산운영경비","1116755","1522601","1522601"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","평가연구활동경비","808294","1049028","1049028"
"2007","건설교통부","교통시설특별회계","공항계정","수송및교통","물류등기타","건설교통연구개발","항공선진화","0","19400000","19400000"
"2007","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","인천국제공항건설","인천국제공항2단계","301100000","200000000","200000000"
"2007","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","인천국제공항건설",,"6000000","0","0"
"2007","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","일반공항건설및관리","일반공항관리","3849000","1730000","1730000"
"2007","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","일반공항건설및관리","지방공항건설","48568000","97800000","97800000"
"2007","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","항공안전","소음대책","4521000","2927000","2927000"
"2007","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","항공안전","항행안전시설","20719000","24086000","24086000"
"2007","건설교통부","교통시설특별회계","광역교통시설계정","수송및교통","도로","지자체도로건설지원","광역도로","118400000","127000000","148000000"
"2007","건설교통부","교통시설특별회계","광역교통시설계정","수송및교통","물류등기타","광역교통정책","교통계획수립","1700000","0","0"
"2007","건설교통부","교통시설특별회계","광역교통시설계정","수송및교통","철도","광역철도건설","광역철도건설지원","427352000","500300000","520300000"
"2007","건설교통부","교통시설특별회계","광역교통시설계정","수송및교통","철도","광역철도건설","광역철도조사설계","12700000","9000000","10000000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","경량전철건설지원","49110000","95300000","95300000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","광주지하철건설","65920000","27897000","27897000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","대구지하철건설","5000000","28856000","28856000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","부산지하철건설","129400000","150000000","150000000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","서울지하철건설","342000000","272000000","299500000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","인천지하철건설","45419000","50000000","50000000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설",,"121495000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도경영개선지원","도시철도부채상환지원","489600000","617900000","617900000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도경영개선지원","지하철개통지원","38276000","15047000","15047000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도경영개선지원",,"9100000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","회계기금간거래(예수원금상환)","회계기금간예수원금상환(교특회계 도시철도)","0","18666400","18666400"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","회계기금간거래(예수이자상환)","회계기금간예수이자상환(교특회계 도시철도)","0","7685500","7685500"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","물류등기타","건설교통연구개발","미래도시철도기술개발","0","47800000","37800000"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","물류등기타","건설교통연구개발",,"10300000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","물류등기타","건설교통연구개발",,"3900000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","물류등기타","건설교통연구개발",,"12000000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","물류등기타","건설교통연구개발",,"3500000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","물류등기타","광역교통정책",,"1700000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","물류등기타","자동차관리정책",,"1000000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","수송및교통","철도","철도안전및운영",,"32400000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","국토및지역개발","산업단지","산업단지개발및지원","산업단지진입도로지원","270000000","289314000","323514000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","고속도로건설","고속도로건설","995000000","920000000","932000000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","고속도로건설","고속도로조사설계","36025000","45500000","43500000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","기간국도10차","480000000","448800000","461300000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","기간국도8차","507839000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","기간국도9차","295600000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","시관내국도대체우회도로건설","707069000","734277000","759777000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","시관내국도대체우회도로조사설계","35531000","39093000","39093000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","일반국도건설(Ⅰ)","636001000","655055000","712055000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","일반국도건설(Ⅱ)","39921000","93400000","116400000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","일반국도조사설계","137478000","110710000","118510000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","지역간선국도1차","300000000","350000000","365000000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","지역간선국도2차","220000000","363750000","370750000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","지역간선국도3차","0","310000000","333500000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","도로관리","국도시설개량(총액계상)","88849000","79567000","80567000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","도로관리","국도시설안전개선(총액계상)","0","158537000","158537000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","도로관리","국도유지관리","94315000","104076937","104076937"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","도로관리","국도유지보수(총액계상)","455387000","450068000","450068000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","민자도로건설및관리","민자유치사업지원","1120200000","1269002000","1269002000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","지자체도로건설지원","국가지원지방도(교특)","19848000","15036000","15036000"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","지자체도로건설지원","대도시권교통혼잡도로","30000000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","회계기금간거래(공무원연금부담금)","공무원연금부담금(교특회계 도로계정)","770000","238280","238280"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","회계기금간거래(예수원금상환)","회계기금간예수원금상환(교특회계 도로계정)","0","7799824","7799824"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","회계기금간거래(예수이자상환)","회계기금간예수이자상환(교특회계 도로계정)","0","2408832","2408832"
"2007","건설교통부","교통시설특별회계","도로계정","수송및교통","물류등기타","건설교통정보화","국토지반정보DB구축","1000000","950000","950000"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","물류등기타","건설교통연구개발","미래철도기술개발","0","54300000","54300000"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","물류등기타","건설교통연구개발",,"9472000","0","0"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","물류등기타","건설교통연구개발",,"6528000","0","0"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","물류등기타","건설교통연구개발",,"24000000","0","0"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","물류등기타","건설교통연구개발",,"12500000","0","0"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","철도","고속철도건설","경부고속철도건설지원","340000000","269974550","270974550"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","철도","고속철도건설","호남고속철도건설지원","30000000","50150000","50150000"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","철도","일반철도건설","일반철도건설지원","1347670000","1354370000","1362370000"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","철도","일반철도건설","일반철도조사설계","52932000","39753450","38253450"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","철도","일반철도건설","철도BTL지원","5000000","0","0"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","철도","철도안전및운영","철도공사지원(교특)","111436000","167400000","167400000"
"2007","건설교통부","교통시설특별회계","철도계정","수송및교통","철도","철도안전및운영","철도시설공단지원","88100000","102491000","102491000"
"2007","건설교통부","국가균형발전특별회계","제주특별자치도계정","국토및지역개발","수자원","하천관리및홍수예보","하천재해예방(균특)","0","25000000","25000000"
"2007","건설교통부","국가균형발전특별회계","제주특별자치도계정","국토및지역개발","지역및도시","지역균형발전","제주국제자유도시","0","9660000","7660000"
"2007","건설교통부","국가균형발전특별회계","제주특별자치도계정","사회복지","주택","주택시장안정및주거복지향상","주거환경개선지원(균특)","0","9980000","9980000"
"2007","건설교통부","국가균형발전특별회계","제주특별자치도계정","수송및교통","도로","국도건설","제주지역도로(구국대도)건설","0","12909000","12909000"
"2007","건설교통부","국가균형발전특별회계","제주특별자치도계정","수송및교통","도로","국도건설","제주지역도로(구국도)건설","0","40405000","40405000"
"2007","건설교통부","국가균형발전특별회계","제주특별자치도계정","수송및교통","도로","도로관리","제주지역구국도유지관리","0","9452786","9452786"
"2007","건설교통부","국가균형발전특별회계","제주특별자치도계정","수송및교통","도로","지자체도로건설지원","국가지원지방도(균특)","0","15285000","12285000"
"2007","건설교통부","국가균형발전특별회계","제주특별자치도계정","수송및교통","물류등기타","건설교통행정지원","도로관리단경비지원","0","84934","84934"
