"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2012","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","24000","0","0"
"2012","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","303000","0","0"
"2012","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","5468","0","0"
"2012","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","181","0","0"
"2012","감사원","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","300","0","0"
"2012","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","30000","0","0"
"2012","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","8000","0","0"
"2012","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","5000","0","0"
"2012","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","28258000","0","0"
"2012","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","61000","0","0"
"2012","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","0","0"
"2012","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","315000","0","0"
"2012","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","1500000","0","0"
"2012","경찰청","경찰병원","손익계정","정부내부수입및기타","전입금","일반회계전입금","29172000","0","0"
"2012","경찰청","경찰병원","자본계정","전년도이월금","전년도이월금","전년도이월금","31000","0","0"
"2012","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","감가상각비전입금","1000","0","0"
"2012","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","당기순이익전입금","1000","0","0"
"2012","경찰청","경찰병원","자본계정","정부내부수입및기타","전입금","일반회계전입금","3755000","0","0"
"2012","경찰청","일반회계",,"경상이전수입","가산금","가산금","13949000","0","0"
"2012","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","4619000","0","0"
"2012","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","751215000","0","0"
"2012","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","147509000","0","0"
"2012","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","2000","0","0"
"2012","경찰청","일반회계",,"경상이전수입","변상금및위약금","변상금","196000","0","0"
"2012","경찰청","일반회계",,"경상이전수입","변상금및위약금","위약금","1139000","0","0"
"2012","경찰청","일반회계",,"관유물매각대","고정자산매각대","건물매각대","672000","0","0"
"2012","경찰청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","4783000","0","0"
"2012","경찰청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","746000","0","0"
"2012","경찰청","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","5842000","0","0"
"2012","경찰청","일반회계",,"재산수입","관유물대여료","건물대여료","350000","0","0"
"2012","경찰청","일반회계",,"재산수입","관유물대여료","기타관유물대여료","6000","0","0"
"2012","경찰청","일반회계",,"재산수입","관유물대여료","토지대여료","568000","0","0"
"2012","경찰청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","517000","0","0"
"2012","경찰청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","486000","0","0"
"2012","경찰청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","2340000","0","0"
"2012","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","기타경상이전수입","10000","0","0"
"2012","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","법정부담금","5000","0","0"
"2012","고용노동부","일반회계",,"경상이전수입","가산금","가산금","30000","0","0"
"2012","고용노동부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","30221000","0","0"
"2012","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","10840000","0","0"
"2012","고용노동부","일반회계",,"경상이전수입","변상금및위약금","위약금","2000","0","0"
"2012","고용노동부","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","10000","0","0"
"2012","고용노동부","일반회계",,"재산수입","관유물대여료","건물대여료","16000","0","0"
"2012","고용노동부","일반회계",,"재산수입","관유물대여료","토지대여료","2000","0","0"
"2012","고용노동부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","100000","0","0"
"2012","고용노동부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","10000","0","0"
"2012","공정거래위원회","일반회계",,"경상이전수입","가산금","가산금","63000","0","0"
"2012","공정거래위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","1466000","0","0"
"2012","공정거래위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","597000","0","0"
"2012","공정거래위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","402931000","0","0"
"2012","공정거래위원회","일반회계",,"경상이전수입","변상금및위약금","위약금","3000","0","0"
"2012","공정거래위원회","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","7000","0","0"
"2012","공정거래위원회","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1000","0","0"
"2012","관세청","일반회계",,"경상이전수입","가산금","가산금","4914000","0","0"
"2012","관세청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","2946000","0","0"
"2012","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","6964000","0","0"
"2012","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","몰수금및추징금","3012000","0","0"
"2012","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","2811000","0","0"
"2012","관세청","일반회계",,"경상이전수입","변상금및위약금","위약금","28000","0","0"
"2012","관세청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","111000","0","0"
"2012","관세청","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","1533000","0","0"
"2012","관세청","일반회계",,"수입대체경비수입","잡수입","기타잡수입","20000","0","0"
"2012","관세청","일반회계",,"재산수입","관유물대여료","건물대여료","347000","0","0"
"2012","관세청","일반회계",,"재산수입","관유물대여료","토지대여료","275000","0","0"
"2012","관세청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","4000","0","0"
"2012","관세청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","1102000","0","0"
"2012","관세청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","262000","0","0"
"2012","교육과학기술부","국립과천과학관","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","3615000","0","0"
"2012","교육과학기술부","국립과천과학관","손익계정","재산수입","관유물대여료","건물대여료","1049000","0","0"
"2012","교육과학기술부","국립과천과학관","손익계정","재화및용역판매수입","잡수입","기타잡수입","266000","0","0"
"2012","교육과학기술부","국립과천과학관","손익계정","전년도이월금","전년도이월금","전년도이월금","353000","0","0"
"2012","교육과학기술부","국립과천과학관","손익계정","정부내부수입및기타","전입금","일반회계전입금","18180000","0","0"
"2012","교육과학기술부","국립과천과학관","자본계정","전년도이월금","전년도이월금","전년도이월금","117000","0","0"
"2012","교육과학기술부","국립과천과학관","자본계정","정부내부수입및기타","기타","감가상각비전입금","1500000","0","0"
"2012","교육과학기술부","국립과천과학관","자본계정","정부내부수입및기타","기타","당기순이익전입금","1000","0","0"
"2012","교육과학기술부","국립과천과학관","자본계정","정부내부수입및기타","전입금","일반회계전입금","7983000","0","0"
"2012","교육과학기술부","국립중앙과학관","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","565000","0","0"
"2012","교육과학기술부","국립중앙과학관","손익계정","재산수입","관유물대여료","건물대여료","310000","0","0"
"2012","교육과학기술부","국립중앙과학관","손익계정","재화및용역판매수입","잡수입","기타잡수입","90000","0","0"
"2012","교육과학기술부","국립중앙과학관","손익계정","전년도이월금","전년도이월금","전년도이월금","470000","0","0"
"2012","교육과학기술부","국립중앙과학관","손익계정","정부내부수입및기타","전입금","일반회계전입금","17767000","0","0"
"2012","교육과학기술부","국립중앙과학관","자본계정","관유물매각대","고정자산매각대","기타고정자산매각대","2000","0","0"
"2012","교육과학기술부","국립중앙과학관","자본계정","재화및용역판매수입","잡수입","기타잡수입","5000","0","0"
"2012","교육과학기술부","국립중앙과학관","자본계정","전년도이월금","전년도이월금","전년도이월금","30000","0","0"
"2012","교육과학기술부","국립중앙과학관","자본계정","정부내부수입및기타","기타","감가상각비전입금","1155000","0","0"
"2012","교육과학기술부","국립중앙과학관","자본계정","정부내부수입및기타","기타","당기순이익전입금","1000","0","0"
"2012","교육과학기술부","국립중앙과학관","자본계정","정부내부수입및기타","전입금","일반회계전입금","9353000","0","0"
"2012","교육과학기술부","일반회계",,"경상이전수입","가산금","가산금","31000","0","0"
"2012","교육과학기술부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","25329358","0","0"
"2012","교육과학기술부","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","43000","0","0"
"2012","교육과학기술부","일반회계",,"경상이전수입","변상금및위약금","변상금","93000","0","0"
"2012","교육과학기술부","일반회계",,"경상이전수입","변상금및위약금","위약금","589000","0","0"
"2012","교육과학기술부","일반회계",,"관유물매각대","고정자산매각대","건물매각대","6100","0","0"
"2012","교육과학기술부","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","54000","0","0"
"2012","교육과학기술부","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","125000","0","0"
"2012","교육과학기술부","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","246378000","0","0"
"2012","교육과학기술부","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","28764000","0","0"
"2012","교육과학기술부","일반회계",,"수입대체경비수입","잡수입","기타잡수입","32808000","0","0"
"2012","교육과학기술부","일반회계",,"융자및전대차관원금회수","전대차관원금회수","기타민간전대차관원금회수","2163000","0","0"
"2012","교육과학기술부","일반회계",,"재산수입","관유물대여료","건물대여료","6519000","0","0"
"2012","교육과학기술부","일반회계",,"재산수입","관유물대여료","기타관유물대여료","92000","0","0"
"2012","교육과학기술부","일반회계",,"재산수입","관유물대여료","토지대여료","904000","0","0"
"2012","교육과학기술부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","3958000","0","0"
"2012","교육과학기술부","일반회계",,"재산수입","전대차관이자수입","기타민간전대차관이자수입","85000","0","0"
"2012","교육과학기술부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","634000","0","0"
"2012","교육과학기술부","일반회계",,"재화및용역판매수입","입학금및수업료","수업료","208964888","0","0"
"2012","교육과학기술부","일반회계",,"재화및용역판매수입","입학금및수업료","입학금","14531000","0","0"
"2012","교육과학기술부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","26900","0","0"
"2012","국가보훈처","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","2330000","0","0"
"2012","국가보훈처","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","30000","0","0"
"2012","국가보훈처","일반회계",,"경상이전수입","변상금및위약금","위약금","30000","0","0"
"2012","국가보훈처","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","29000","0","0"
"2012","국가보훈처","일반회계",,"재산수입","관유물대여료","건물대여료","66000","0","0"
"2012","국가보훈처","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","46000","0","0"
"2012","국가보훈처","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","6000","0","0"
"2012","국가인권위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","5000","0","0"
"2012","국가인권위원회","일반회계",,"경상이전수입","변상금및위약금","위약금","5000","0","0"
"2012","국가인권위원회","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","10000","0","0"
"2012","국가정보원","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1378600","0","0"
"2012","국무총리실","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","1018000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"경상이전수입","가산금","가산금","23000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","1942000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"경상이전수입","변상금및위약금","위약금","528000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"관유물매각대","고정자산매각대","건물매각대","5381000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","1327000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","344517000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"재산수입","기타이자수입및재산수입","기타재산수입","30000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"전년도이월금","전년도이월금","전년도이월금","35369000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"정부내부수입및기타","예탁원금회수","기금예탁원금회수","130000000","0","0"
"2012","국방부","국방·군사시설이전특별회계",,"정부내부수입및기타","예탁이자수입","기금예탁이자수입","12577000","0","0"
"2012","국방부","일반회계",,"경상이전수입","가산금","가산금","24000","0","0"
"2012","국방부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","51284000","0","0"
"2012","국방부","일반회계",,"경상이전수입","벌금,몰수금및과태료","몰수금및추징금","108000","0","0"
"2012","국방부","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","2566000","0","0"
"2012","국방부","일반회계",,"경상이전수입","변상금및위약금","변상금","1679000","0","0"
"2012","국방부","일반회계",,"경상이전수입","변상금및위약금","위약금","8472000","0","0"
"2012","국방부","일반회계",,"재산수입","관유물대여료","건물대여료","1059000","0","0"
"2012","국방부","일반회계",,"재산수입","관유물대여료","기타관유물대여료","883000","0","0"
"2012","국방부","일반회계",,"재산수입","관유물대여료","토지대여료","4541000","0","0"
"2012","국방부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1264000","0","0"
"2012","국방부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","420000","0","0"
"2012","국방부","일반회계",,"재화및용역판매수입","병원수입","병원수입","7534000","0","0"
"2012","국방부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","17173000","0","0"
"2012","국방부","주한미군기지이전특별회계",,"경상이전수입","가산금","가산금","6000","0","0"
"2012","국방부","주한미군기지이전특별회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","81000","0","0"
"2012","국방부","주한미군기지이전특별회계",,"경상이전수입","변상금및위약금","변상금","39000","0","0"
"2012","국방부","주한미군기지이전특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","248734000","0","0"
"2012","국방부","주한미군기지이전특별회계",,"재산수입","관유물대여료","토지대여료","3532000","0","0"
"2012","국방부","주한미군기지이전특별회계",,"재산수입","기타이자수입및재산수입","기타재산수입","165000","0","0"
"2012","국방부","주한미군기지이전특별회계",,"재화및용역판매수입","잡수입","기타잡수입","436000","0","0"
"2012","국방부","주한미군기지이전특별회계",,"정부내부수입및기타","예수금","기금예수금","132014000","0","0"
"2012","국세청","일반회계",,"경상이전수입","가산금","가산금","677559000","0","0"
"2012","국세청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","6908000","0","0"
"2012","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","745000","0","0"
"2012","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","2097000","0","0"
"2012","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","몰수금및추징금","2000","0","0"
"2012","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","39680000","0","0"
"2012","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","84000","0","0"
"2012","국세청","일반회계",,"경상이전수입","변상금및위약금","변상금","257000","0","0"
"2012","국세청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","50000","0","0"
"2012","국세청","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","865000","0","0"
"2012","국세청","일반회계",,"수입대체경비수입","잡수입","기타잡수입","679000","0","0"
"2012","국세청","일반회계",,"재산수입","관유물대여료","건물대여료","199000","0","0"
"2012","국세청","일반회계",,"재산수입","관유물대여료","기타관유물대여료","3000","0","0"
"2012","국세청","일반회계",,"재산수입","관유물대여료","토지대여료","3000","0","0"
"2012","국세청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","226000","0","0"
"2012","국토해양부","광역지역발전특별회계","광역발전계정","경상이전수입","기타경상이전수입","법정부담금","174355000","0","0"
"2012","국토해양부","광역지역발전특별회계","광역발전계정","관유물매각대","토지및무형자산매각대","토지매각대","5358000","0","0"
