"회계연도","소관명","회계명","계정명","분야명","부분명","프로그램명","단위사업명","전년도당초금액(천원)","금년도정부안(천원)","금년도국회확정(천원)"
"2009","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사연구활동경비","1071070","835552","793552"
"2009","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사활동경비","17290866","16886000","16866000"
"2009","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","국제교류협력강화","30354","35354","35354"
"2009","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","기본경비","8979396","8979396","9089396"
"2009","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","수입대체경비","245000","266000","266000"
"2009","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","인건비","56003348","60738560","60738560"
"2009","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","전산운영경비","1487962","1293472","1293472"
"2009","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","2991888","3272178","3272178"
"2009","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","29217549","29388871","29388871"
"2009","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","진료업무지원","22693830","21902806","21902806"
"2009","경찰청","경찰병원","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(경찰병원계정)","2001338","2475844","2475844"
"2009","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","175200","172397","172397"
"2009","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","예비비","107000","0","0"
"2009","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","자산취득","1215000","1215000","1215000"
"2009","경찰청","국가균형발전특별회계","제주특별자치도계정","공공질서및안전","경찰","경찰행정지원","제주이관인력지원","2963000","2283020","2283020"
