"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2009","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 운영","인건비","60792765","60792765","60792765"
"2009","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 운영","기본경비","23705000","23705000","23705000"
"2009","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 국정지원","국정운영 지원","26682583","26682583","26682583"
"2009","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 국정지원","대통령실 정보화","4084905","4084905","4084905"
"2009","대통령실","일반회계",,"일반공공행정","일반행정","대통령 및 국가요인 경호","경호행사지원","24944597","24944597","24944597"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","위원회운영지원","10330604","10330604","10330604"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의원외교및국제회의","6885623","6885623","6885623"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의정지원","53634738","53634738","53634738"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","국회활동관련단체지원","13747120","13747120","13747120"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관운영지원","678174","678174","678174"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","입법정보지원","487431","487431","487431"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관자료확충및보존","5325156","5325156","5325156"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","전자도서관구축","7811971","7811971","7811971"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","기획관리및운영지원","647702","647702","647702"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","국가재정분석및사업평가","1896297","1896297","1896297"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","예산정책처정보화","333504","333504","333504"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","기획관리및운영지원","406095","406095","406095"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법및정책조사분석","1179809","1179809","1179809"
"2009","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법조사처 정보화","812117","812117","812117"
