"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2007","대통령비서실","일반회계",,"일반공공행정","일반행정","대통령비서실 운영","인건비","25680260","0","0"
"2007","대통령비서실","일반회계",,"일반공공행정","일반행정","대통령비서실 운영","기본경비","11837000","0","0"
"2007","대통령비서실","일반회계",,"일반공공행정","일반행정","대통령비서실 운영","시설관리 및 개선","4703208","0","0"
"2007","대통령비서실","일반회계",,"일반공공행정","일반행정","대통령비서실 운영","국정운영 지원","17936362","0","0"
"2007","대통령비서실","일반회계",,"일반공공행정","일반행정","대통령비서실 운영","대통령비서실 행정혁신","282020","0","0"
"2007","대통령비서실","일반회계",,"일반공공행정","일반행정","대통령비서실 운영","비서실 정보화","4142014","0","0"
"2007","대통령경호실","일반회계",,"일반공공행정","일반행정","대통령 및 국빈&요인 경호","인건비","31025740","0","0"
"2007","대통령경호실","일반회계",,"일반공공행정","일반행정","대통령 및 국빈&요인 경호","기본경비","7487962","0","0"
"2007","대통령경호실","일반회계",,"일반공공행정","일반행정","대통령 및 국빈&요인 경호","경호행사지원경비","11677400","0","0"
"2007","대통령경호실","일반회계",,"일반공공행정","일반행정","대통령 및 국빈&요인 경호","대통령경호행정혁신","242024","0","0"
"2007","대통령경호실","일반회계",,"일반공공행정","일반행정","대통령 및 국빈&요인 경호","경호기반개선사업","12493083","0","0"
"2007","대통령경호실","일반회계",,"일반공공행정","일반행정","대통령 및 국빈&요인 경호","경호종합훈련원신축","10000000","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","위원회운영","9870583","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의원외교및국제회의","6754379","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의정서비스지원","50954059","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회활동지원단체및시민단체보조","국회활동지원단체보조","11254350","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회활동지원단체및시민단체보조","시민단체보조","475000","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","운영지원및기록물관리","268290","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관국제협력","304167","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","입법조사분석및정보지원","395232","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관자료확충","3050574","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관자료보존","1176618","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","전자도서관구축(정보화)","6747494","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","기획관리및운영지원","490956","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","국가재정분석및법안비용추계","509630","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","장기경제분석체제구축","396489","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","국가주요사업평가및평가모형개발","382157","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","예산정책처정보화(정보화)","342972","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회부속청사건립","국회부속청사지상층건립","21954183","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회부속청사건립","제2의원회관건립","1500000","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","본부 인건비","187512647","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","소속기관인건비","21628331","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","본부기본경비","16192938","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","소속기관기본경비","4243062","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","입법활동지원","6820883","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","법제활동지원","995389","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","국회청사유지및관리","25621410","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","입법정보화","12732222","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","의회운영교육 수입대체경비","80000","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","국회방송전용채널운영","310000","0","0"
"2007","국회","일반회계",,"일반공공행정","입법및선거관리","국회행정지원","예비금","1300000","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부 인건비","533667195","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","소속기관 인건비","49891153","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부 기본경비","52725258","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","소속기관 기본경비","5447742","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","청사관리경비","24880491","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","재판활동지원","104990771","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","사법업무 전산화","30416483","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","호적업무 전산화","15373906","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","법관등 전문화 및 국제화","7755744","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","재판활동종합지원","법원예비금","247670","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","법원시설 확충 및 유지보수","법원시설 확충","85410089","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","법원시설 확충 및 유지보수","법원시설관리","22182000","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","법원도서관","도서 확충 및 정비","1446003","0","0"
"2007","대법원","일반회계",,"공공질서및안전","법원및헌재","법원도서관","전자도서관 개발","1023000","0","0"
"2007","대법원","등기특별회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부 인건비","78317927","0","0"
"2007","대법원","등기특별회계",,"공공질서및안전","법원및헌재","재판활동종합지원","본부 기본경비","5471000","0","0"
"2007","대법원","등기특별회계",,"공공질서및안전","법원및헌재","재판활동종합지원","등기업무지원","20304263","0","0"
"2007","대법원","등기특별회계",,"공공질서및안전","법원및헌재","재판활동종합지원","등기업무 전산화","75545868","0","0"
"2007","대법원","등기특별회계",,"공공질서및안전","법원및헌재","재판활동종합지원","건강보험부담금","1819000","0","0"
"2007","대법원","등기특별회계",,"공공질서및안전","법원및헌재","재판활동종합지원","예비비","18017530","0","0"
"2007","대법원","등기특별회계",,"공공질서및안전","법원및헌재","법원시설 확충 및 유지보수","등기소 확충","27372328","0","0"
"2007","대법원","등기특별회계",,"공공질서및안전","법원및헌재","회계간거래(전출금)","회계간전출(일반회계)","40000000","0","0"
"2007","대법원","등기특별회계",,"공공질서및안전","법원및헌재","내부거래지출","회계기금간거래(등특회계)","5850996","0","0"
"2007","국가안전보장회의","일반회계",,"국방","전력유지","국가안전보장","인건비","754802","0","0"
"2007","국가안전보장회의","일반회계",,"국방","전력유지","국가안전보장","기본경비","719690","0","0"
"2007","국가안전보장회의","일반회계",,"국방","전력유지","국가안전보장","안보정책연구","50000","0","0"
"2007","국가안전보장회의","일반회계",,"국방","전력유지","국가안전보장","상황실운영","713664","0","0"
"2007","국가안전보장회의","일반회계",,"국방","전력유지","국가안전보장","국가안전보장회의행정혁신","32968","0","0"
"2007","국가정보원","일반회계",,"일반공공행정","일반행정","국가정보지원","정보활동","449891520","0","0"
"2007","민주평화통일자문회의","일반회계",,"통일·외교","통일","민주평화통일자문회의운영","사무처인건비","3681687","0","0"
"2007","민주평화통일자문회의","일반회계",,"통일·외교","통일","민주평화통일자문회의운영","기본경비","1031757","0","0"
"2007","민주평화통일자문회의","일반회계",,"통일·외교","통일","민주평화통일자문회의운영","통일정책자문및통일운동활성화","8253581","0","0"
"2007","민주평화통일자문회의","일반회계",,"통일·외교","통일","민주평화통일자문회의운영","민주평화통일자문회의행정혁신","51356","0","0"
"2007","민주평화통일자문회의","일반회계",,"통일·외교","통일","민주평화통일자문회의운영","민주평화통일자문회의정보화","585387","0","0"
"2007","민주평화통일자문회의","일반회계",,"통일·외교","통일","민주평화통일자문회의운영","시설관리","130000","0","0"
"2007","국민경제자문회의","일반회계",,"일반공공행정","일반행정","국민경제자문회의행정지원","인건비","777181","0","0"
"2007","국민경제자문회의","일반회계",,"일반공공행정","일반행정","국민경제자문회의행정지원","기본경비","1505000","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","본부 인건비","48725749","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","소속기관 인건비","4337366","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","본부 기본경비","5515219","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","소속기관 기본경비","2963781","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사활동경비","15867853","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사역량강화","1334888","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","본부청사 및 시설물 관리","402400","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","전산운영경비","1522601","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","ASOSAI 세미나 개최","100326","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","소속기관 청사 및 시설물관리","244973","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","수입대체경비","239400","0","0"
"2007","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","평가연구활동경비","1049028","0","0"
"2007","헌법재판소","일반회계",,"공공질서및안전","법원및헌재","헌법재판소운영","인건비","12423054","0","0"
"2007","헌법재판소","일반회계",,"공공질서및안전","법원및헌재","헌법재판소운영","기본경비","3939499","0","0"
"2007","헌법재판소","일반회계",,"공공질서및안전","법원및헌재","헌법재판소운영","재판자료확충","45802","0","0"
