"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2016","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","인건비","33517845","33517845","33517845"
"2016","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","18793000","18793000","18793000"
"2016","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","29851000","29851000","29851000"
"2016","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","정보화","6351000","6351000","6351000"
"2016","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국가안보실 운영","510000","510000","510000"
"2016","대통령경호실","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","인건비","43886517","43886517","43886517"
"2016","대통령경호실","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","8849000","8849000","8849000"
"2016","대통령경호실","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","31734000","31734000","31734000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","67114000","67114000","67114000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","위원회운영지원","10946000","10946000","10946000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의회외교","9767000","9767000","9767000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","국회활동관련단체지원","8913000","8913000","8913000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","예비금","1300000","1300000","1300000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","제20대국회 개원경비","6184000","6184000","6184000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","의회운영지원","15316000","15316000","15316000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","법제활동지원","914000","914000","914000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","국회청사확보및시설관리","35157000","35157000","35157000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","입법정보화","16667000","16667000","16667000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","의회운영교육 수입대체경비","126000","126000","126000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회사무처운영","국회방송운영","13722000","13722000","13722000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","도서관운영지원","942000","942000","942000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","입법정보지원","915000","915000","915000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","도서관자료확충및보존","6649000","6649000","6649000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회도서관운영","전자도서관운영","8864000","8864000","8864000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","예산정책처운영","기획관리및운영지원","572000","572000","572000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","예산정책처운영","국가재정분석및사업평가","2386000","2386000","2386000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","예산정책처운영","예산정책처정보화","700000","700000","700000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","입법조사처운영","기획관리및운영지원","576000","576000","576000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","입법조사처운영","입법및정책조사분석","1978000","1978000","1978000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","입법조사처운영","입법조사처 정보화","753000","753000","753000"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","사무처 인건비","277250119","277250119","277250119"
"2016","국회","일반회계",,"일반·지방행정","입법및선거관리","국회행정지원","도서관 인건비","22873600","22873600","22873600"
