"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2009","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","2000","2000","2000"
"2009","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","266000","266000","266000"
"2009","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","6035","6035","6035"
"2009","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","163","163","163"
"2009","감사원","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","110","110","110"
"2009","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","8000","8000","8000"
"2009","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","12000","12000","12000"
"2009","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","21418000","21418000","21418000"
"2009","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","6000","6000","6000"
"2009","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","1000","1000"
"2009","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","315000","315000","315000"
"2009","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","10213699","10213699","10213699"
"2009","경찰청","경찰병원","손익계정","정부내부수입및기타","전입금","일반회계전입금","25068000","25068000","25068000"
"2009","경찰청","경찰병원","자본계정","전년도이월금","전년도이월금","전년도이월금","1385397","1385397","1385397"
"2009","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","감가상각비전입금","1000","1000","1000"
"2009","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","당기순이익전입금","1000","1000","1000"
"2009","경찰청","운전면허시험관리단","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","20000","20000","20000"
"2009","경찰청","운전면허시험관리단","손익계정","경상이전수입","변상금및위약금","변상금","20000","20000","20000"
"2009","경찰청","운전면허시험관리단","손익계정","관유물매각대","고정자산매각대","기계기구매각대","200000","200000","200000"
"2009","경찰청","운전면허시험관리단","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","10000","10000","10000"
"2009","경찰청","운전면허시험관리단","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","74924000","74924000","74924000"
"2009","경찰청","운전면허시험관리단","손익계정","재산수입","관유물대여료","건물대여료","250000","250000","250000"
"2009","경찰청","운전면허시험관리단","손익계정","재산수입","관유물대여료","토지대여료","150000","150000","150000"
"2009","경찰청","운전면허시험관리단","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","10000","10000","10000"
"2009","경찰청","운전면허시험관리단","손익계정","재화및용역판매수입","잡수입","기타잡수입","1500000","1500000","1500000"
"2009","경찰청","운전면허시험관리단","손익계정","전년도이월금","전년도이월금","전년도이월금","6976000","6976000","6976000"
"2009","경찰청","운전면허시험관리단","자본계정","전년도이월금","전년도이월금","전년도이월금","300000","300000","300000"
"2009","경찰청","운전면허시험관리단","자본계정","정부내부수입및기타","기타","감가상각비전입금","2666288","2666288","2666288"
"2009","경찰청","운전면허시험관리단","자본계정","정부내부수입및기타","기타","당기순이익전입금","1000","1000","1000"
"2009","경찰청","일반회계",,"경상이전수입","가산금","가산금","12720000","12720000","12720000"
"2009","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","4339808","4339808","4339808"
"2009","경찰청","일반회계",,"경상이전수입","벌금및몰수금","벌금","925196400","925196400","925196400"
"2009","경찰청","일반회계",,"경상이전수입","변상금및위약금","변상금","149941","149941","149941"
"2009","경찰청","일반회계",,"경상이전수입","변상금및위약금","위약금","1141000","1141000","1141000"
"2009","경찰청","일반회계",,"관유물매각대","고정자산매각대","건물매각대","137000","137000","137000"
"2009","경찰청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","2030178","2030178","2030178"
"2009","경찰청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","222000","222000","222000"
"2009","경찰청","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","5355000","5355000","5355000"
"2009","경찰청","일반회계",,"재산수입","관유물대여료","건물대여료","370000","370000","370000"
"2009","경찰청","일반회계",,"재산수입","관유물대여료","기타관유물대여료","7742","7742","7742"
"2009","경찰청","일반회계",,"재산수입","관유물대여료","토지대여료","291441","291441","291441"
"2009","경찰청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","153000","153000","153000"
"2009","경찰청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","2963000","2963000","2963000"
"2009","공정거래위원회","일반회계",,"경상이전수입","가산금","가산금","322560","322560","322560"
"2009","공정거래위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","1039000","1039000","1039000"
"2009","공정거래위원회","일반회계",,"경상이전수입","벌금및몰수금","벌금","189696600","189696600","189696600"
"2009","공정거래위원회","일반회계",,"경상이전수입","변상금및위약금","위약금","6930","6930","6930"
"2009","공정거래위원회","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","354","354","354"
"2009","공정거래위원회","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","59","59","59"
"2009","관세청","일반회계",,"경상이전수입","가산금","가산금","4297000","4297000","4297000"
"2009","관세청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","221000","221000","221000"
"2009","관세청","일반회계",,"경상이전수입","벌금및몰수금","몰수금","3439000","3439000","3439000"
"2009","관세청","일반회계",,"경상이전수입","벌금및몰수금","벌금","6159000","6159000","6159000"
"2009","관세청","일반회계",,"경상이전수입","변상금및위약금","위약금","73000","73000","73000"
"2009","관세청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","50000","50000","50000"
"2009","관세청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","10000","10000","10000"
