"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동","위원회운영","10462505","10462505","10462505"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동","의원외교및국제회의","6923770","6923770","6923770"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동","의정지원","53117621","53117621","53117621"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동","국회활동관련단체지원","12638850","12638850","12638850"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동","제60주년 제헌절기념행사","820000","820000","820000"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동","제18대국회 개원경비","1600039","1600039","1600039"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관운영지원","651693","651693","651693"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","입법정보지원","335004","335004","335004"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관자료확충","3812286","3812286","3812286"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관자료보존","919739","919739","919739"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","전자도서관구축","7617332","7617332","7617332"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","기획관리및운영지원","641170","641170","641170"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","국가재정분석및사업평가","1650823","1650823","1650823"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","예산정책처정보화","362419","362419","362419"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","기획관리및운영지원","356240","356240","356240"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법및정책조사분석","864642","864642","864642"
"2008","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법조사처 정보화","281851","281851","281851"
