"회계연도","소관명","회계명","계정명","분야명","부분명","프로그램명","단위사업명","전년도당초금액(천원)","금년도정부안(천원)","금년도국회확정(천원)"
"2011","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사연구활동경비","580876","561000","561000"
"2011","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사활동경비","16893222","18010000","18060000"
"2011","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","국제교류협력강화","433634","339000","339000"
"2011","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","기본경비","9648499","10024000","10024000"
"2011","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","수입대체경비","266000","303000","303000"
"2011","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","인건비","60872527","65434434","65434434"
"2011","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","전산운영경비","1349000","2720000","2720000"
"2011","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","604000","3566000","3566000"
"2011","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","3255059","3255000","3255000"
"2011","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","29516167","31448893","31448893"
"2011","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","진료업무지원","24057079","25334000","25334000"
"2011","경찰청","경찰병원","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(경찰병원계정)","1965907","3022000","3022000"
"2011","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","154660","155000","155000"
"2011","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","자산취득","1155000","1627000","1627000"
"2011","경찰청","광역지역발전특별회계","광역발전계정","공공질서및안전","경찰","민생치안확립","광역교통관리체계개선","29700000","27030000","27030000"
"2011","경찰청","광역지역발전특별회계","제주특별자치도계정","공공질서및안전","경찰","경찰행정지원","제주이관인력지원","2443000","2621000","2621000"
"2011","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","운전면허관리",,"2341000","0","0"
"2011","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","운전면허관리",,"38831562","0","0"
"2011","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","운전면허관리",,"25184000","0","0"
"2011","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","운전면허관리",,"3440627","0","0"
"2011","경찰청","운전면허시험관리단","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(자동차운전면허계정)","2921801","0","0"
"2011","경찰청","운전면허시험관리단","자본계정","공공질서및안전","경찰","운전면허관리",,"2198000","0","0"
"2011","경찰청","운전면허시험관리단","자본계정","공공질서및안전","경찰","운전면허관리",,"269359","0","0"
"2011","경찰청","운전면허시험관리단","자본계정","공공질서및안전","경찰","운전면허관리",,"2637000","0","0"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경무활동지원","144390106","145876000","145876000"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부기본경비","335901911","348716971","348716971"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부인건비","5111462585","5484353441","5484353441"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","사이버경찰청운영","369574","219052","219052"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관기본경비","11767584","12024524","12024524"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관인건비","53124408","41174281","41174281"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","일반행정업무지원","257832133","257232628","257232628"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","청사확보및시설개선","225113000","203986000","208162000"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","대테러상황관리","7025404","7395240","7395240"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","보안경찰활동","27806040","27467000","27467000"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","외사경찰활동","15236221","16021486","16021486"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","민생치안확립","교통사고예방","225482410","259254000","258949000"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","민생치안확립","교통행정전산화(정보화)","2645177","3159000","3159000"
"2011","경찰청","일반회계",,"공공질서및안전","경찰","민생치안확립","범죄수사","98711952","99575183","105575183"
