"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2011","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 운영","인건비","65096719","0","0"
"2011","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 운영","기본경비","25413000","0","0"
"2011","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 국정지원","국정운영 지원","29903400","0","0"
"2011","대통령실","일반회계",,"일반공공행정","일반행정","대통령실 국정지원","대통령실 정보화","3386000","0","0"
"2011","대통령실","일반회계",,"일반공공행정","일반행정","대통령 및 국가요인 경호","경호행사지원","38082000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의정지원","58049149","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","위원회운영지원","11273188","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","의원외교및국제회의","10201000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","국회활동관련단체지원","15207000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","의정활동지원","예비금","1300000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","의회운영지원","10360000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","법제활동지원","1097000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","국회청사확보및시설관리","76372000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","입법정보화","15886000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","의회운영교육 수입대체경비","130000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회사무처운영","국회방송운영","10148000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관운영지원","906112","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","입법정보지원","574308","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","도서관자료확충및보존","6345000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","국회도서관운영","전자도서관운영","8667000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","기획관리및운영지원","659105","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","국가재정분석및사업평가","2648000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","예산정책처운영","예산정책처정보화","312000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","기획관리및운영지원","584000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법및정책조사분석","1907000","0","0"
"2011","국회","일반회계",,"일반공공행정","입법및선거관리","입법조사처운영","입법조사처 정보화","687000","0","0"
