회계연도,소관명,회계명,계정명,분야명,부문명,프로그램명,단위사업명,전년도당초금액(천원),금년도정부안(천원),금년도국회확정(천원)
2017,4·16세월호참사 특별조사위원회,일반회계,,일반·지방행정,일반행정,기관운영,기본경비,2155537,0,0
2017,4·16세월호참사 특별조사위원회,일반회계,,일반·지방행정,일반행정,기관운영,인건비,2979310,0,0
2017,4·16세월호참사 특별조사위원회,일반회계,,일반·지방행정,일반행정,세월호참사조사,소통협력,122399,0,0
2017,4·16세월호참사 특별조사위원회,일반회계,,일반·지방행정,일반행정,세월호참사조사,안전사회건설 종합대책 수립,81300,0,0
2017,4·16세월호참사 특별조사위원회,일반회계,,일반·지방행정,일반행정,세월호참사조사,자료기록관 설치 운영,46960,0,0
2017,4·16세월호참사 특별조사위원회,일반회계,,일반·지방행정,일반행정,세월호참사조사,진상규명 실지조사,314920,0,0
2017,4·16세월호참사 특별조사위원회,일반회계,,일반·지방행정,일반행정,세월호참사조사,참사 실태 조사 연구,42300,0,0
2017,4·16세월호참사 특별조사위원회,일반회계,,일반·지방행정,일반행정,세월호참사조사,청문회 및 감정 검정 실시,268990,0,0
2017,4·16세월호참사 특별조사위원회,일반회계,,일반·지방행정,일반행정,세월호참사조사,피해자 지원 대책 점검,160195,0,0
2017,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,감사연구활동경비,484000,435000,435000
2017,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,감사활동경비,23022000,23284000,23074000
2017,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,국제교류협력강화,406000,268000,268000
2017,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,기본경비,10619600,11513000,11513000
2017,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,수입대체경비,360000,358000,358000
2017,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,인건비,75980563,81534906,81434906
2017,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,전산운영경비,6160000,7046000,7046000
2017,감사원,일반회계,,일반·지방행정,일반행정,감사활동 및 행정지원,청사 및 시설물 관리,1185000,1058000,1058000
2017,경찰청,경찰병원,손익계정,공공질서및안전,경찰,경찰병원운영,경찰병원기본경비,3583000,3767000,3767000
2017,경찰청,경찰병원,손익계정,공공질서및안전,경찰,경찰병원운영,경찰병원인건비,34754376,37183729,37183729
2017,경찰청,경찰병원,손익계정,공공질서및안전,경찰,경찰병원운영,장례식장운영,2198000,1916000,1916000
2017,경찰청,경찰병원,손익계정,공공질서및안전,경찰,경찰병원운영,진료업무지원,23385000,23884000,23884000
2017,경찰청,경찰병원,손익계정,공공질서및안전,경찰,회계기금간거래(공무원연금부담금),공무원연금부담금(경찰병원계정),4023000,3845000,3845000
2017,경찰청,경찰병원,자본계정,공공질서및안전,경찰,경찰병원운영,경찰병원기본경비,146000,170000,170000
2017,경찰청,경찰병원,자본계정,공공질서및안전,경찰,경찰병원운영,자산취득,2746000,2471000,2471000
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,감사·인권보호활동,2601000,2916000,2916000
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,경찰복지증진,24607000,27213000,28029000
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,경찰인력증원(인건비),0,0,0
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,대국민치안정책제공,1213000,1232000,1232000
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,본부기본경비,383450000,392917000,392917000
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,본부인건비,7478299186,7693302133,7693302133
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,소속기관기본경비,11408000,11784000,11814000
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,소속기관인건비,81275746,74354185,74354185
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,일반행정업무지원,498640200,542748000,547411000
2017,경찰청,일반회계,,공공질서및안전,경찰,경찰행정지원,행정효율성증진및능력개발,3043000,3370000,3370000
2017,경찰청,일반회계,,공공질서및안전,경찰,교통안전·소통확보,교통사고예방,271815000,274376000,274051000
2017,경찰청,일반회계,,공공질서및안전,경찰,교통안전·소통확보,교통행정전산화(정보화),3153000,4061000,4061000
2017,경찰청,일반회계,,공공질서및안전,경찰,국가안보확보,국제교류협력활동,3018000,5617000,5617000
2017,경찰청,일반회계,,공공질서및안전,경찰,국가안보확보,대테러상황관리,7490000,15770000,16457000
2017,경찰청,일반회계,,공공질서및안전,경찰,국가안보확보,보안경찰활동,35972000,36990000,36990000
2017,경찰청,일반회계,,공공질서및안전,경찰,국가안보확보,외사경찰활동,16188000,16250000,16250000
2017,경찰청,일반회계,,공공질서및안전,경찰,범죄수사활동,범죄수사,117600000,128755000,128755000
2017,경찰청,일반회계,,공공질서및안전,경찰,범죄수사활동,사이버수사,7003000,7480000,7480000
2017,경찰청,일반회계,,공공질서및안전,경찰,범죄수사활동,첨단과학수사,18446000,19290000,19290000
