"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도예산(천원)","추경정부안(천원)","추경국회확정(천원)"
"2007","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","2000","0","0"
"2007","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","239000","0","0"
"2007","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","3600","0","0"
"2007","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","140","0","0"
"2007","감사원","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","110","0","0"
"2007","건설교통부","교통시설특별회계","공항계정","경상이전수입","기타경상이전수입","법정부담금","3000000","0","0"
"2007","건설교통부","교통시설특별회계","공항계정","재화및용역판매수입","항공항만및용수수입","항공항만수입","30606000","0","0"
"2007","건설교통부","교통시설특별회계","공항계정","정부내부수입및기타","전입금","일반회계전입금","312337000","0","0"
"2007","건설교통부","교통시설특별회계","광역교통시설계정","경상이전수입","기타경상이전수입","법정부담금","47000000","0","0"
"2007","건설교통부","교통시설특별회계","광역교통시설계정","정부내부수입및기타","전입금","일반회계전입금","631300000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","융자및전대차관원금회수","융자원금회수","지방자치단체융자원금회수","45646000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","재산수입","기타이자수입및재산수입","지방자치단체이자수입","15534000","0","0"
"2007","건설교통부","교통시설특별회계","대중교통계정","정부내부수입및기타","전입금","일반회계전입금","1287471900","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","경상이전수입","기타경상이전수입","기타경상이전수입","7353000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","경상이전수입","기타경상이전수입","법정부담금","72000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","관유물매각대","토지및무형자산매각대","토지매각대","1872000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","56300000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","재산수입","관유물대여료","토지대여료","11015723","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","재산수입","기타이자수입및재산수입","기타민간이자수입","41300000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","재산수입","정부출자수입","정부출자수입","3000000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","전년도이월금","전년도이월금","전년도이월금","51000000","0","0"
"2007","건설교통부","교통시설특별회계","도로계정","정부내부수입및기타","전입금","일반회계전입금","6492170150","0","0"
"2007","건설교통부","교통시설특별회계","철도계정","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","28838000","0","0"
"2007","건설교통부","교통시설특별회계","철도계정","재산수입","기타이자수입및재산수입","기타민간이자수입","108439000","0","0"
"2007","건설교통부","교통시설특별회계","철도계정","정부내부수입및기타","전입금","일반회계전입금","1908662000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","경상이전수입","가산금","가산금","7856000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","경상이전수입","기타경상이전수입","기타경상이전수입","772000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","경상이전수입","기타경상이전수입","법정부담금","296100000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","경상이전수입","벌금및몰수금","벌금","259000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","관유물매각대","토지및무형자산매각대","토지매각대","13000000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","4498000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","융자및전대차관원금회수","융자원금회수","지방자치단체융자원금회수","26241000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","재산수입","관유물대여료","토지대여료","100000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","재산수입","기타이자수입및재산수입","기타민간이자수입","1128000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","재산수입","기타이자수입및재산수입","지방자치단체이자수입","2703000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역개발사업계정","전년도이월금","전년도이월금","전년도이월금","33350000","0","0"
"2007","건설교통부","국가균형발전특별회계","지역혁신사업계정","경상이전수입","기타경상이전수입","법정부담금","20000000","0","0"
"2007","건설교통부","일반회계",,"경상이전수입","가산금","가산금","6600","0","0"
"2007","건설교통부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","10961000","0","0"
"2007","건설교통부","일반회계",,"경상이전수입","벌금및몰수금","벌금","659000","0","0"
"2007","건설교통부","일반회계",,"경상이전수입","변상금및위약금","변상금","472925","0","0"
"2007","건설교통부","일반회계",,"경상이전수입","변상금및위약금","위약금","71973","0","0"
"2007","건설교통부","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","2752","0","0"
"2007","건설교통부","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","30024","0","0"
"2007","건설교통부","일반회계",,"관유물매각대","재고자산매각대및유동자산","재고자산매각대","9457","0","0"
"2007","건설교통부","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","3433166","0","0"
"2007","건설교통부","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","176453","0","0"
"2007","건설교통부","일반회계",,"수입대체경비수입","잡수입","기타잡수입","1856062","0","0"
"2007","건설교통부","일반회계",,"재산수입","관유물대여료","건물대여료","7469","0","0"
"2007","건설교통부","일반회계",,"재산수입","관유물대여료","기타관유물대여료","2000","0","0"
"2007","건설교통부","일반회계",,"재산수입","관유물대여료","토지대여료","1390000","0","0"
"2007","건설교통부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","456876","0","0"
"2007","건설교통부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","20480","0","0"
"2007","건설교통부","일반회계",,"재화및용역판매수입","입학금및수업료","수업료","177510","0","0"
"2007","건설교통부","일반회계",,"재화및용역판매수입","입학금및수업료","입학금","22660","0","0"
