"회계연도","소관명","회계명","계정명","분야명","부분명","프로그램명","단위사업명","전년도당초금액(천원)","금년도정부안(천원)","금년도국회확정(천원)"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","감사활동경비","17202741","17482866","17290866"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","국제교류협력강화","100326","30354","30354"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","본부 기본경비","5515219","5699409","5699409"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","본부 인건비","48725749","51651820","51651820"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","소속기관 기본경비","2963781","3279987","3279987"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","소속기관 인건비","4337366","4351528","4351528"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","소속기관 청사 및 시설물관리","244973","0","0"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","수입대체경비","239400","245000","245000"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","전산운영경비","1522601","1487962","1487962"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","402400","0","0"
"2008","감사원","일반회계",,"일반공공행정","일반행정","감사활동 및 행정지원","평가연구활동경비","1049028","1071070","1071070"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","물류등기타","건설교통연구개발","항공선진화","19400000","16870000","16870000"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","물류등기타","건설교통정보화","상시원격학과시험시스템구축","0","500000","500000"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","인천국제공항건설","인천국제공항2단계","200000000","129000000","129000000"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","인천국제공항건설","인천국제공항지원","0","1000000","1000000"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","일반공항건설및관리","김해공항확장(2단계)","71000000","30981000","30981000"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","일반공항건설및관리","무안공항건설","23000000","13680000","13680000"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","일반공항건설및관리","울진공항건설","3800000","1500000","1500000"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","일반공항건설및관리","일반공항관리","1730000","921000","921000"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","항공안전","소음대책","2927000","3179000","3179000"
"2008","건설교통부","교통시설특별회계","공항계정","수송및교통","항공·공항","항공안전","항행안전시설","24086000","24051000","24051000"
"2008","건설교통부","교통시설특별회계","광역교통시설계정","수송및교통","도로","지자체도로건설지원","광역도로","148000000","140200000","144200000"
"2008","건설교통부","교통시설특별회계","광역교통시설계정","수송및교통","철도","광역철도건설","광역철도건설","520300000","514750000","521750000"
"2008","건설교통부","교통시설특별회계","광역교통시설계정","수송및교통","철도","광역철도건설","광역철도조사설계","10000000","20600000","20600000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","경기지하철건설","0","0","1000000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","경량전철건설지원","95300000","102400000","103400000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","광주지하철건설","27897000","0","0"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","대구지하철건설","28856000","48900000","48900000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","부산지하철건설","150000000","103600000","103600000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","서울지하철건설","299500000","266632000","268132000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도건설","인천지하철건설","50000000","122747000","127247000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도경영개선지원","도시철도부채상환지원","617900000","597487000","597487000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도경영개선지원","이동편의시설 설치지원","0","21671000","26671000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","도시철도경영개선지원","지하철개통지원","15047000","9887000","9887000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","회계기금간거래(예수원금상환)","회계기금간예수원금상환(교특회계 도시철도)","18666400","18666000","18666000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","도시철도","회계기금간거래(예수이자상환)","회계기금간예수이자상환(교특회계 도시철도)","7685500","6773000","6773000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","물류등기타","건설교통연구개발","미래도시철도기술개발","37800000","55490000","55490000"
"2008","건설교통부","교통시설특별회계","대중교통계정","수송및교통","물류등기타","건설교통정보화","운수행정정보화","0","237000","237000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","고속도로건설","고속도로건설","932000000","815600000","880600000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","고속도로건설","고속도로조사설계","43500000","46700000","48700000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","기간국도10차","461300000","229000000","229000000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","시관내국도대체우회도로건설","759777000","760000000","793500000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","시관내국도대체우회도로조사설계","39093000","36000000","37000000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","일반국도건설","828455000","778000000","830800000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","일반국도조사설계","118510000","90296663","97296663"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","지역간선국도1차","365000000","376000000","398200000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","지역간선국도2차","370750000","376000000","383000000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","지역간선국도3차","333500000","375500000","406000000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","국도건설","지역간선국도4차","0","220000000","247400000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","도로관리","국도시설개량","80567000","72800000","77800000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","도로관리","국도시설안전개선(총액계상)","158537000","136500000","143500000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","도로관리","국도유지관리","58076937","59898350","59898350"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","도로관리","국도유지보수(총액계상)","450068000","416677298","423677298"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","도로관리","첨단도로교통체개","46000000","49999517","49999517"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","민자도로건설및관리","민자유치사업지원","1269002000","1474241000","1424241000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","지자체도로건설지원","국가지원지방도(교특)","15036000","12000000","13000000"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","회계기금간거래(공무원연금부담금)","공무원연금부담금(교특회계 도로계정)","238280","232096","232096"
"2008","건설교통부","교통시설특별회계","도로계정","수송및교통","도로","회계기금간거래(예수원금상환)","회계기금간예수원금상환(교특회계 도로계정)","7799824","8406617","8406617"
